Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$14,557,581.39","$9,956,993.20","$47,457.92","$17,015.59","$1,386.41",$0.00,"$36,344.20",,"$36,344.20",$0.00,$0.00,$0.00,$0.00,$0.00,"$3,470,641.50",$0.00,"$146,895.09",$182.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$367,740.08","$14,976.62",$0.00,"$52,394.00",$0.00,$0.00,$0.00,$0.00,"$3,948.00",$0.00,$0.00,$0.00,"$244,214.91",$0.00,"$1,000.00","$31,000.00",$0.00,"$6,125.00","$4,493.00","$75,615.49",$0.00,$0.00,"$3,950.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$38,863.95"
1,112011603,Conewago Valley SD,Adams,"$31,071,884.46","$23,042,243.13",$0.00,"$34,343.62","$49,652.02",$0.00,"$84,058.79",,"$84,058.79",$0.00,"$57,370.86",$0.00,$0.00,$0.00,"$5,717,770.74",$0.00,"$364,726.55","$52,069.01",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$744,390.47","$1,449.14",$0.00,"$59,259.05",$0.00,$0.00,$0.00,$0.00,"$572,449.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$34,176.94",$800.00,"$25,219.31",$0.00,$0.00,$0.00,$0.00,$0.00,"$113,028.78",$0.00,$0.00,$0.00,$0.00,$0.00,$473.21,$0.00,"$34,345.05"
1,112013054,Fairfield Area SD,Adams,"$10,507,048.42","$7,478,463.74","$20,510.17","$12,319.77","$8,626.29",$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,164,620.69",$0.00,"$125,800.21","$20,647.63",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$265,117.72","$34,159.20",$0.00,"$29,771.00",$0.00,$0.00,$0.00,$227.06,"$143,843.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$13,361.86","$34,643.49",$0.00,"$5,100.00",$0.00,"$120,353.69",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$29,482.90"
1,112013753,Gettysburg Area SD,Adams,"$39,253,636.40","$27,401,148.38","$149,284.61","$40,904.94","$52,309.36","$15,707.60",$0.00,,$0.00,$0.00,"$89,249.26",$0.00,$0.00,$0.00,"$6,311,021.95",$0.00,"$652,296.54","$417,609.29",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,299,207.94","$145,027.59",$0.00,"$163,665.32",$0.00,$0.00,$0.00,"$120,668.81","$334,088.00","$16,480.00",$0.00,$0.00,"$15,000.00",$0.00,"$615,502.60","$131,211.87","$12,296.62",$739.26,"$13,915.00","$884,236.55",$0.00,$0.00,"$3,637.91",$0.00,$0.00,$0.00,$0.00,$0.00,"$27,070.37","$2,160.00","$339,196.63"
1,112015203,Littlestown Area SD,Adams,"$16,560,019.61","$11,960,417.00","$35,113.04","$18,861.52",$0.00,$0.00,"$43,343.50",,"$43,343.50",$0.00,"$21,586.73",$0.00,$0.00,$0.00,"$1,655,079.45","$1,282,657.37","$247,855.11",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$815,422.30","$11,089.21",$0.00,"$68,410.62",$0.00,$0.00,$0.00,"$3,401.00","$239,277.00","$5,702.00",$0.00,"$17,240.80",$0.00,$0.00,"$15,338.23","$20,000.00","$3,606.00","$4,660.00",$0.00,"$35,515.32",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,099.91"
1,112018523,Upper Adams SD,Adams,"$13,747,322.98","$9,742,925.21","$54,274.17","$15,379.55","$8,062.14",$0.00,"$33,316.20",,"$33,316.20",$0.00,"$70,485.77",$0.00,$0.00,$0.00,"$2,453,584.44",$0.00,"$125,106.22",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$467,907.10","$2,499.79",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$248,363.00",$0.00,$0.00,"$1,790.32",$0.00,"$55,681.65","$1,750.00","$75,967.72",$0.00,$0.00,$0.00,"$335,654.53",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,258.97"
1,103020603,Allegheny Valley SD,Allegheny,"$15,528,942.16","$13,427,719.35",$0.00,"$18,184.13","$15,529.49",$0.00,$0.00,,$0.00,$0.00,"$34,201.86",$0.00,$0.00,$0.00,"$1,035,252.78",$0.00,"$123,068.49",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$611,798.03","$21,645.24",$0.00,$0.00,$0.00,$0.00,$0.00,$114.00,"$132,975.00",$0.00,$0.00,"$6,988.00",$0.00,$0.00,"$6,956.20",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$29,290.13",$0.00,"$65,219.46"
1,103020753,Avonworth SD,Allegheny,"$20,445,302.21","$16,466,612.01",$0.00,"$22,589.95",$0.00,$0.00,$0.00,,$0.00,$0.00,"$15,624.78",$0.00,$0.00,$0.00,"$2,402,413.96",$0.00,"$573,244.83",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$630,505.23","$3,947.86",$0.00,"$40,339.06",$0.00,$0.00,$0.00,$0.00,"$157,881.35",$0.00,$0.00,$0.00,$0.00,$0.00,"$47,112.50","$40,400.98",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$44,629.70"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$37,200,573.00","$29,100,067.71",$0.00,"$49,636.13",$0.00,$0.00,$0.00,,$0.00,$0.00,"$34,235.08",$0.00,$0.00,$0.00,"$4,457,007.61",$0.00,"$355,823.66",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,584,790.96","$30,170.27",$0.00,"$87,051.00",$0.00,$0.00,$0.00,"$3,563.00","$426,486.00",$0.00,$0.00,$0.00,$0.00,$700.00,"$464,686.51","$176,667.80",$0.00,"$2,100.00",$0.00,"$8,475.00",$0.00,$0.00,$0.00,"$3,435.00",$0.00,$0.00,$0.00,$0.00,"$399,708.57",$0.00,"$15,968.70"
1,103021252,Bethel Park SD,Allegheny,"$59,453,185.75","$50,799,012.20",$0.00,"$66,501.14","$10,206.79",$0.00,$0.00,,$0.00,$0.00,$0.00,$0.00,"$1,150.00",$0.00,"$4,791,699.96",$0.00,"$465,423.34",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,569,532.14","$79,623.19",$0.00,"$216,596.30",$0.00,$0.00,$0.00,"$1,824.80","$734,506.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$144,956.90","$280,281.00","$90,477.75",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$60,629.70","$68,226.97","$72,537.57"
