Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$15,334,887.17","$10,385,108.78","$40,119.52","$16,120.98","$1,386.41",,"$36,950.10",,"$36,950.10",,,,,,"$3,714,884.76",,"$247,426.13",$224.87,,,,,,,,,,,,,"$404,948.26","$16,386.50",,"$47,544.05",,,,,"$2,398.00",,,,,"$255,307.00",,"$2,500.00",,"$7,215.38","$7,310.00","$4,842.00","$51,037.34",,,"$3,750.00",,,,,,,,"$52,476.99"
1,112011603,Conewago Valley SD,Adams,"$33,287,563.61","$23,747,601.18",,"$33,461.26","$37,143.03",,"$87,395.10",,"$88,528.10",,"$59,341.06",,,,"$6,020,512.48",,"$426,608.42","$45,964.03",,,,,,,,,,,,,"$678,089.26","$15,558.68",,"$59,521.35",,,,,"$530,429.00",,,,,,,"$23,645.00",,"$19,766.38",,,,,,"$570,922.29",,,,,,$500.54,,"$842,576.45"
1,112013054,Fairfield Area SD,Adams,"$11,132,317.41","$7,561,521.30","$63,745.56","$12,000.38","$8,626.29",,,,,,,,,,"$2,604,098.93",,"$147,414.10","$22,036.34",,,,,,,,,,,,,"$282,769.88","$28,434.97",,"$45,324.36",,,,"$3,205.99","$143,025.00",,,,,,,"$17,220.50","$29,806.15",,"$5,190.00",,"$139,884.59",,,,,,,,,,,"$18,013.07"
1,112013753,Gettysburg Area SD,Adams,"$40,133,075.77","$27,625,532.56","$206,771.57","$40,793.15","$13,365.78","$53,150.56",,,,,"$90,509.88",,,,"$6,473,178.46",,"$815,591.92","$427,556.28",,,,,,,,,,,,,"$1,473,604.36","$180,114.06",,"$202,963.40",,,,"$109,181.19","$339,781.00","$6,587.64",,,,,,"$635,415.03","$137,627.86","$12,505.26",,"$15,410.00","$961,855.77",,,"$4,108.30",,,,,,"$34,426.61","$1,496.26","$271,548.87"
1,112015203,Littlestown Area SD,Adams,"$16,999,975.71","$12,421,365.92","$81,402.39","$18,070.22",,,"$43,660.94",,"$43,660.95",,"$21,310.43",,,,"$1,800,326.80","$1,286,917.24","$292,964.73",,,,,,,,,,,,,,"$614,004.51","$18,375.37",,"$53,642.05",,,,"$1,266.00","$214,295.00","$6,234.00",,,$421.00,,,"$11,389.15",,"$5,075.00","$2,805.00",,"$54,621.49",,,,,,,,,,,"$8,167.52"
1,112018523,Upper Adams SD,Adams,"$14,086,235.91","$10,154,950.85","$58,921.50","$14,493.01","$8,062.14",,"$33,724.70",,"$33,724.70",,"$60,548.07",,,,"$2,504,152.16",,"$132,676.53",,,,,,,,,,,,,,"$308,784.70","$6,882.92",,$685.00,,,,,"$255,592.00",,,,"$1,443.37",,"$81,532.61","$1,475.00","$55,289.28",,,,"$325,366.73",,,"$4,170.00",,,,,,"-$3,926.62",,"$47,687.26"
1,103020603,Allegheny Valley SD,Allegheny,"$15,757,430.54","$13,674,698.74",,"$17,422.59","$13,753.37",,,,,,"$41,111.17",,,,"$1,063,878.49",,"$152,958.77",,,,,,,,,,,,,,"$544,666.79","$34,506.74",,,,,,$223.60,"$134,224.00",,,,$253.00,,,"$7,451.40","$1,821.43",,,,,,,,,,,,,"$22,858.34",,"$47,602.11"
1,103020753,Avonworth SD,Allegheny,"$21,882,306.40","$17,738,034.67",,"$21,514.71",,,,,,,"$14,788.15",,,,"$2,468,279.00",,"$584,921.08",,,,,,,,,,,,,,"$669,339.43","$14,091.31",,"$40,221.28",,"$20,000.00",,"$2,846.20","$182,828.00",,,,,,,"$51,052.50","$36,824.77",,,,,,,,,,,,,,,"$37,565.30"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$38,742,003.47","$30,504,697.53",,"$42,097.25",,,,,,,"$33,294.48",,,,"$4,402,860.11",,"$498,329.41",,,,,,,,,,,,,,"$1,680,893.66","$35,852.19",,"$80,684.00",,,$700.00,"$1,833.00","$376,792.00",,,,,,,"$604,884.91","$27,033.35",,,,,,,,,,,,,"$12,414.47",,"$439,637.11"
1,103021252,Bethel Park SD,Allegheny,"$60,911,535.13","$52,065,533.07",,"$63,391.68","$10,411.01",,,,,,,,"$5,000.00",,"$4,800,509.36",,"$600,089.44",,,,,,,,,,,,,,"$1,445,039.64","$137,241.54",,"$244,250.72",,,,"$1,566.00","$702,245.00",,,,,,,"$133,612.42","$10,264.00","$94,515.04",,,,,,,,,,,,"$431,770.89","$120,635.11","$45,460.21"
