Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$15,666,487.74","$10,715,359.47","$39,281.01","$15,794.62","$1,386.41",,"$37,512.10",,"$37,512.10",,,,,,"$3,734,258.17",,"$211,352.69",$151.31,,,,,,,,,,,,,,"$382,138.96","$50,086.50",,"$48,821.00",,,"$8,542.95",,"$279,655.20",,,,,,,$900.00,,,"$4,375.00","$5,260.00","$65,057.22",,,"$4,200.00",,,,,,,,"$24,843.03"
1,112011603,Conewago Valley SD,Adams,"$34,264,359.67","$25,473,283.69",,"$33,859.71",,,"$84,016.80",,"$84,016.80",,"$55,053.68",,,,"$6,039,571.58",,"$567,762.80","$42,565.30",,,,,,,,,,,,,,"$837,994.07","$38,278.61",,"$58,895.30",,,,"$552,199.00","$9,066.00",,,,,,,"$23,320.00",,"$21,108.49",,,,,,"$112,667.81",,"$227,646.03",,,,,,"$3,054.00"
1,112013054,Fairfield Area SD,Adams,"$10,925,208.50","$7,976,012.16","$31,874.66","$11,316.07","$8,626.29",,,,,,,,,,"$2,039,070.19",,"$172,561.11","$21,125.14",,,,,,,,,,,,,,"$196,361.24","$28,775.62",,"$44,201.81",,"$49,261.70",,$773.92,"$144,249.07",,,,,,,"$20,668.00","$27,167.21",,"$1,500.00",,"$115,697.75",,,,,,,,,,,"$35,966.56"
1,112013753,Gettysburg Area SD,Adams,"$41,140,472.47","$28,300,351.44","$161,032.53","$38,222.87","$52,397.11","$10,624.05",,,,,"$103,091.53",,,,"$7,051,407.77",,"$581,244.21","$294,072.46",,,,,,,,,,,,,,"$1,466,325.76","$266,389.14",,"$182,740.81",,,,"$30,860.45","$360,151.00",,,,,,,"$693,789.61","$101,512.32","$14,894.93",,"$18,415.00","$1,027,354.37",,,"$3,971.17",,,,,"$2,700.00","$110,705.40",$877.72,"$267,340.82"
1,112015203,Littlestown Area SD,Adams,"$18,353,363.14","$13,344,822.49","$86,783.95","$18,088.37",,,"$44,973.10",,"$44,973.10",,"$25,037.03",,,,"$3,454,147.24",,"$293,604.83",,,,,,,,,,,,,,,"$654,866.66","$51,227.03",,"$66,258.50",,,,,"$192,741.00","$3,574.00",,,,,,"$4,244.70",,"$7,777.62","$2,030.00",,"$51,897.28",,,,,,,,,,,"$6,316.24"
1,112018523,Upper Adams SD,Adams,"$15,052,737.11","$10,644,333.29","$40,321.89","$14,579.71","$8,062.14",,"$33,712.10",,"$33,712.10",,"$42,893.82",,,,"$2,633,037.57",,"$169,974.64",,,,,,,,,,,,,,,"$397,650.17","$17,238.29",,"$1,324.40",,,,,"$251,026.00",,,,,,"$58,320.39","$2,000.00","$76,095.48",$300.00,,,"$510,334.39",,,,,,,,,"$1,116.00",,"$116,704.73"
1,103020603,Allegheny Valley SD,Allegheny,"$16,296,576.07","$13,972,471.49",,"$17,108.10","$13,447.14",,,,,,"$37,823.41",,,,"$1,096,833.25",,"$322,447.80",,,,,,,,,,,,,,,"$509,204.79","$54,116.00",,,,,,$225.20,"$177,394.54",,,,,,,"$6,751.40",$25.00,,,,,,,,,,,,,"$49,137.21",,"$39,590.74"
1,103020753,Avonworth SD,Allegheny,"$22,405,469.00","$18,121,211.00",,"$22,562.00",,,,,,,"$16,152.00",,,,"$2,529,855.00",,"$500,499.00",,,,,,,,,,,,,,,"$805,666.00","$35,195.00",,"$53,764.00",,"$20,000.00",,,"$217,122.00",,,,,,,"$45,678.00","$5,241.00",,,,,,,,,,,,,,,"$32,524.00"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$40,465,105.16","$32,370,536.14",,"$41,805.97",,,,,,,"$33,921.09",,,,"$4,716,408.92",,"$621,227.87",,,,,,,,,,,,,,,"$1,330,401.34","$69,501.17",,"$87,285.00",,,,,"$496,388.10",,,,,,,"$472,624.00","$10,400.00","$12,300.00",,,,,,,,,,,$472.00,"$60,547.56",,"$141,286.00"
1,103021252,Bethel Park SD,Allegheny,"$61,676,909.05","$52,602,674.70",,"$62,961.59","$9,552.00",,,,,,,,"$6,050.00",,"$5,194,028.69",,"$791,125.02",,,,,,,,,,,,,,,"$1,298,165.04","$193,443.10",,"$242,952.43",,,,"$3,266.80","$869,521.33",,,,,,,"$125,463.25","$36,967.00","$79,530.26",,,,,,,,,,,,"$54,049.40","$29,356.13","$77,802.31"
1,103021453,Brentwood Borough SD,Allegheny,"$12,470,700.99","$10,075,195.60",,"$12,849.79",,,,,,,"$8,693.16",,,,"$1,140,370.88",,"$93,125.36",,,,,,,,,,,,,,,"$812,160.50","$68,662.50",,"$20,406.04",,"$1,704.61",,"$4,000.00","$168,012.20",,,,,"$2,640.00",$700.00,"$7,836.31","$38,816.42",,,,,,,,,,,,,"$10,469.88",,"$5,057.74"
1,103021603,Carlynton SD,Allegheny,"$17,000,064.06","$13,544,675.57",,"$16,616.24","$2,119.74",,,,,,,,,,"$1,951,662.38",,"$240,274.06",,,,,,,,,,,,,,,"$808,429.09","$6,126.07",,"$29,402.17",,,,,"$295,029.08",,,,,"$2,027.60",,"$14,857.32","$9,756.22","$3,750.00",,,,,,,"$36,408.21",,,,,"$34,646.93",,"$4,283.38"
1,103021752,Chartiers Valley SD,Allegheny,"$44,625,192.38","$35,297,271.57","$46,044.81","$47,748.36","$78,700.00",,,,,,"$72,045.35",,,,"$5,490,971.97",,"$698,129.26",,,,"$520,563.57",,,,,,,,,,,"$1,575,406.68","$59,105.25",,"$54,226.92",,,,"$20,000.00","$440,390.89",,,,,,"$8,847.19","$42,828.97","$1,172.00","$5,292.94",,,,,,"$15,175.00",,,,,,"$110,930.56","$13,813.71","$26,527.38"
1,103021903,Clairton City SD,Allegheny,"$3,436,384.00","$2,272,407.00",,"$3,562.00","$5,060.00",,,,,,"$9,908.00",,,,"$393,954.00",,"$41,163.00",,"$89,443.00",,"$19,128.00",,,,,,,,,,,"$282,550.00","$3,206.00",,"$29,304.00",,,,,"$202,622.00",,,,,,,"$20,400.00","$18,011.00",,,,,,,,,,,,,"$6,673.00",,"$38,993.00"
1,103022103,Cornell SD,Allegheny,"$8,711,759.00","$7,414,619.00",,"$9,051.00",,,,,,,"$19,984.00",,,,"$672,451.00",,"$72,746.00",,,,,,,,,,,,,,,"$197,941.00","$4,206.00",,"$9,234.00",,,,,"$129,889.00",,,,,,$700.00,"$139,407.00","$25,800.00",,,,,,,,,,,,,"$12,686.00",,"$3,045.00"
1,103022253,Deer Lakes SD,Allegheny,"$22,132,866.09","$18,285,935.01",,"$24,539.95",,,"$34,586.19",,"$34,586.21",,"$28,606.93",,,,"$1,787,594.00",,"$235,138.57",,,,,,,,,,,,,,,"$914,995.60","$47,399.42",,"$51,052.00",,,,,"$405,870.16",,,,,,,"$20,201.30","$42,953.74",,,,"$65,086.31",,,,,,,,,"$4,105.00",,"$150,215.70"
1,103022503,Duquesne City SD,Allegheny,"$1,903,474.43","$1,179,973.74",,"$1,959.63","$1,817.71",,,,,,"$7,225.81",,,,"$274,225.39",,"$8,777.19",,,,,,,,,,,,,,,"$154,330.01","$30,063.77",,,,,,,"$101,291.00",$272.00,,,,,"$30,700.00","$44,794.06","$3,500.00",,,,,,,,,,,,,"$45,484.08",,"$19,060.04"
1,103022803,East Allegheny SD,Allegheny,"$18,709,978.60","$12,335,464.00",,"$16,527.04","$7,226.12",,,,,,"$23,304.14",,,,"$1,315,646.95",,"$100,263.93",,"$105,455.62","$4,728.60","$216,607.49",,,,,,,,,,,"$1,032,981.83","$6,033.49",,$445.00,,,"$2,051.19",,"$404,941.04",,,,,,,"$89,691.82","$10,014.19","$429,641.06",,,,,,,,,,,,"$2,425,706.00",$948.33,"$182,300.76"
1,103023153,Elizabeth Forward SD,Allegheny,"$20,809,510.19","$15,799,621.96",,"$20,797.50",,,,,,,"$22,885.93",,,,"$2,026,409.27",,"$220,028.06",,,,,,,,,,,,,,,"$1,533,152.56","$29,170.10",,"$40,086.27",,,,,"$489,679.47",,,,,,,"$100,339.57","$24,619.88",,"$5,240.00",,"$256,329.00",,,,,,,,,"$11,791.21",$871.40,"$228,488.01"
1,103023912,Fox Chapel Area SD,Allegheny,"$73,852,584.00","$60,821,527.69",,"$77,802.70","$17,981.58",,,,,,"$117,475.20",,,,"$7,671,095.26",,"$984,867.35",,,,,,,,,,,,,,,"$2,753,075.65","$223,811.66",,"$172,189.88",,,,,"$543,322.04",,,,,,,"$18,660.50","$118,315.54","$52,931.64","$30,046.63",,"$22,581.78",,,,,"$190,625.00",,,,"$23,259.32",,"$13,014.58"
1,103024102,Gateway SD,Allegheny,"$51,394,777.70","$42,598,040.64",,"$55,450.12",,,,,,,"$125,730.47",,,,"$3,809,011.34",,"$505,422.64",,,,"$1,494,835.35",,,,,,,,,,,"$1,407,141.52","$72,565.50",,"$68,157.05",,,,,"$718,737.09",,,,,,,"$124,785.54","$15,277.30",,,,"$165,941.88",,,,,,,,,$283.26,"$13,618.42","$219,779.58"
1,103024603,Hampton Township SD,Allegheny,"$35,349,655.10","$28,805,907.97","$160,402.70","$36,701.33",,,,,,,,,,,"$3,903,380.78",,"$404,516.72",,,,,,,,,,,,,,,"$1,568,802.00","$114,121.40",,"$71,596.50",,,,"$2,697.58","$238,439.99",,,,,,,"$11,130.25","$20,000.00",,,,,,,,,,,,,"$5,468.39",,"$6,489.49"
1,103024753,Highlands SD,Allegheny,"$20,131,482.59","$15,542,891.93",,"$20,793.48","$308,367.51",,"$53,399.33",,"$53,458.11",,"$35,041.16",,,,"$1,911,679.06",,"$195,022.02",,,,,,,,,,,,,,,"$1,149,137.58","$35,237.66",,,"$45,109.55",$700.00,"$11,196.24",,"$505,968.57",,,,,$450.40,,"$7,326.63","$43,800.00",,"$5,050.00",,,,,"$131,487.56",,,,,,"$40,807.79",,"$34,558.01"
1,103025002,Keystone Oaks SD,Allegheny,"$29,960,718.42","$24,704,961.49",,"$30,785.06",,,,,,,"$64,139.57",,,,"$3,003,484.56",,"$325,631.05",,,,,,,,,,,,,,,"$968,965.60","$67,615.46",,"$86,457.21",,,,,"$303,758.53",,,,,,,"$25,642.64","$8,568.00","$117,000.00",,,,,,"$123,483.58",,,,,,"$30,025.40","$63,519.48","$36,680.79"
1,103026002,McKeesport Area SD,Allegheny,"$16,164,166.00","$10,838,274.00",,"$15,693.00",,,,,,,"$50,917.00",,,,"$2,138,904.00",,"$181,176.00",,"$239,608.00",,"$151,037.00",,,,,,,,,,,"$989,969.00","$23,699.00",,"$45,793.00","$115,797.00",,,,"$758,370.00",,,,"$29,500.00","$75,000.00",,"$31,300.00","$21,625.00",,,,"$371,550.00",,,,,,,,,"$60,227.00",,"$25,727.00"
1,103026303,Montour SD,Allegheny,"$51,778,612.07","$43,841,323.74","$515,747.34","$51,357.55",,,,,,,,,,,"$4,531,259.88",,"$646,819.95",,,,,,,,,,,,,,,"$1,285,590.03","$74,108.69",,"$42,062.10",,,,,"$473,934.60",,,,"$1,032.04",,,"$166,762.96","$60,645.14",,,,,,,,"$2,621.00",,,,,"$64,097.75",,"$21,249.30"
1,103026343,Moon Area SD,Allegheny,"$52,707,355.00","$44,712,353.00","$158,203.00","$54,334.00","$100,000.00",,,,,,"$97,789.00",,,,"$4,799,753.00",,"$840,961.00","$4,451.00",,,,,,,,,,,,,,"$764,628.00","$99,555.00",,"$43,795.00",,,,"$3,126.00","$607,737.00",,,,,,"$1,080.00","$61,951.00","$64,694.00",,,,,,,,,,,,"$128,972.00","$67,301.00",,"$96,672.00"
1,103026402,Mt Lebanon SD,Allegheny,"$74,421,577.22","$62,995,598.91",,"$76,951.43",,,,,,,"$41,946.82",,,,"$7,470,605.40",,"$837,749.73",,,,,,,,,,,,,,,"$1,293,592.00","$214,359.76",,"$138,239.00",,$298.00,,,"$729,432.04",,,,,,,"$92,109.25",,,"$30,745.73","$164,455.22","$143,965.04",,,,,,,,"$35,411.05","$16,017.84",,"$140,100.00"
1,103026852,North Allegheny SD,Allegheny,"$119,460,307.90","$98,199,747.93","$2,294,964.69","$118,340.63","$1,494.96",,"$174,324.99",,"$174,324.91",,,,,,"$12,585,264.18",,"$2,026,374.84",,,,,,,,,,,,,,,"$1,576,895.45","$31,543.06",,"$270,827.46",,"$4,000.00",,,"$898,805.63",,,,,,$350.00,"$129,704.17","$150,559.13",,,,,,,,,,,,,,,"$822,785.87"
1,103026902,North Hills SD,Allegheny,"$56,645,575.00","$45,602,163.00",,"$60,327.00","$44,708.00",,,,,,"$78,761.00",,,,"$5,720,063.00",,"$838,530.00",$168.00,"$435,591.00",,"$850,821.00",,,,,,,,,,,"$1,922,967.00","$85,735.00",,"$108,990.00",,,,,"$723,017.00",,,,,,,"$10,170.00","$10,272.00",,"$16,644.00",,"$9,668.00",,,,,"$40,264.00",,,,"$8,328.00",,"$78,388.00"
1,103026873,Northgate SD,Allegheny,"$13,787,026.00","$10,284,633.00",,"$13,053.00",,,"$20,108.00",,"$20,845.00",,"$11,882.00",,,,"$1,471,601.00",,"$175,184.00",,,,,,,,,,,,,,,"$1,350,747.00","$57,902.00",,"$24,479.00",,,,,"$303,869.00",,,,,,,"$24,952.00","$4,888.00",,,,,,,,,,,,,"$5,148.00",,"$17,735.00"
1,103027352,Penn Hills SD,Allegheny,"$45,950,576.23","$35,572,944.32",,"$46,204.03","$15,608.23",,,,,,"$38,135.27",,,,"$4,052,944.83",,"$333,480.49",,"$301,470.58",,"$374,279.13",,,,,,,,,,,"$3,011,613.70","$3,427.87",,"$47,266.84",,,,"$10,856.14","$935,174.52",,,,,,,"$691,389.62","$44,507.94",,,,,,,,,,,,,"$34,200.23",,"$437,072.49"
1,103021003,Pine-Richland SD,Allegheny,"$63,942,333.00","$51,469,394.00","$1,021,031.00","$65,467.00",,,"$75,205.00",,"$75,205.00",,,,,,"$6,748,770.00",,"$1,208,351.00",,,,,,,,,,,,,,,"$1,622,615.00","$115,896.00",,"$215,564.00",,,,,"$737,081.00",,,,,,,"$184,435.00",$708.00,,,,,,,,,,,,,"$106,772.00","$21,243.00","$274,596.00"
1,102027451,Pittsburgh SD,Allegheny,"$322,380,753.31","$162,078,014.56",,"$329,770.37","$1,332,624.24",,,,,,,,,,,,,,,,,,"$116,902,271.86",,,,,,,"$15,272,220.60",,"$14,681,405.53","$1,475,144.39",,"$868,988.63",,"$1,242,552.28",,"$153,762.85","$36,411.57",,,,,"$1,378,397.24",,"$241,859.58","$1,150,908.10","$28,107.63",,,"$3,886,573.86",,,"$217,111.57",,,,"$466,367.08",,"$313,684.57","$1,500.44","$323,076.36"
1,103027503,Plum Borough SD,Allegheny,"$33,192,707.99","$26,654,466.10","$13,709.13","$33,869.45",,,"$100,626.41",,"$98,426.41",,"$33,460.74",,,,"$3,710,516.48",,"$350,570.74",,,,,,,,,,,,,,,"$1,297,530.86","$24,350.82",,"$93,018.56",,,,,"$562,707.36",,,,,,,"$23,790.25","$36,762.68","$5,358.49",,,"$87,732.46",,,,"$34,010.62",,"$8,651.56",,,"$1,902.00",,"$21,246.87"
1,103027753,Quaker Valley SD,Allegheny,"$38,061,885.00","$30,556,445.00","$119,494.00","$40,074.00","$432,070.00",,"$35,658.00",,"$35,658.00",,,,,,"$4,054,237.00",,"$773,017.00",,,,,,,,,,,,,,,"$1,410,220.00","$84,202.00",,,,,,,"$278,816.00",,,,,,,"$132,357.00","$18,626.00","$62,700.00","$11,625.00",,,,,,,,,,,"$10,267.00",,"$6,419.00"
1,103028203,Riverview SD,Allegheny,"$15,427,362.64","$12,447,241.33",,"$16,124.03",,,,,,,"$23,776.81",,,,"$1,146,772.14",,"$224,945.06",,,,,,,,,,,,,,,"$1,285,544.20","$17,643.88",,"$27,600.58",,,,$270.50,"$181,506.00",,,,,,,"$8,400.00","$16,848.06","$1,397.00",,,,,,,,,,,,"$17,896.71",,"$11,396.34"
1,103028302,Shaler Area SD,Allegheny,"$52,084,650.81","$42,777,787.73",,"$53,345.39",,,,,,,"$27,248.05",,,,"$5,140,219.61",,"$545,424.34",,,,,,,,,,,,,,,"$2,075,902.17","$110,494.11",,"$63,935.24",,,,"$6,531.00","$968,023.99",,,,,,"$93,008.35","$7,800.00","$79,635.10",,"$55,395.04",,,,,,,,,,"$57,718.00",,,"$22,182.69"
1,103028653,South Allegheny SD,Allegheny,"$7,165,960.37","$4,725,713.73",,"$7,132.35",,,,,,,,,,,"$1,035,142.01",,"$73,542.54",,,,,,,,,,,,,,,"$675,482.68","$98,696.27",,"$23,953.45","$46,000.00",,,,"$375,272.20",,,,,,,"$12,001.01",$308.49,,,,,,,,,,,,,"$19,596.52",,"$73,119.12"
1,103028703,South Fayette Township SD,Allegheny,"$39,117,718.41","$32,818,671.95","$375,413.23","$38,577.74",,,"$43,182.14",,"$43,182.13",,"$27,741.78",,,,"$3,134,779.11",,"$612,679.14",,,,,,,,,,,,,,,"$1,088,346.78","$269,012.75",,"$162,912.50",,,,,"$299,991.69",,,,,,,"$54,872.00",,$948.98,,,"$39,181.68",,,,,,,,,,"$23,135.34","$85,089.47"
1,103028753,South Park SD,Allegheny,"$19,518,204.38","$16,016,396.86","$4,691.59","$19,943.17",,,"$39,005.97",,"$39,005.95",,"$14,036.23",,,,"$1,949,401.05",,"$252,879.09","$23,600.00",,,,,,,,,,,,,,"$639,360.58","$4,158.99",,"$81,931.26",,,,,"$225,567.15",,,,,,,"$27,795.83","$5,000.00","$4,890.24",,,,,,,,,"$14,200.08",,,"$132,427.18",,"$23,913.16"
1,103028833,Steel Valley SD,Allegheny,"$16,302,212.32","$12,155,983.69",,"$16,439.72",,$971.65,,,,,"$36,370.75",,,,"$1,545,946.87",,"$172,555.99","$41,059.91",,,,,,,,,,,,,,"$1,598,950.20","$36,774.28",,"$30,661.00",,,,,"$413,161.10",,,,,,,"$16,032.50","$44,138.38","$5,148.74",,,,,,,,,,,,"$161,650.77",,"$26,366.77"
1,103028853,Sto-Rox SD,Allegheny,"$8,266,884.65","$5,812,628.25",,"$8,386.44","$18,000.00",,,,,,"$18,302.16",,,,"$873,602.01",,"$79,250.06",,,,"$57,154.30",,,,,,,,,,,"$727,665.64","$60,979.22",,"$6,701.61",,,,"$5,426.60","$359,912.54",,,,,,,"$55,749.96","$53,485.07","$10,389.97",,,,,,,,,,,,"$61,775.29",,"$57,475.53"
