Ctgy,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top Revenue Received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$16,363,443.75","$11,188,802.20","$43,508.95","$15,311.31","$1,386.41",,"$40,835.30",,"$40,835.30",,,,,,"$3,873,714.41",,"$261,111.88",$116.59,,,,,,,,,,,,,,"$358,322.63","$129,443.24",,"$49,663.00",,,"$4,077.77",,"$282,074.00",,,,,,,$700.00,,,"$2,975.00","$5,495.00","$49,262.49",,,,,,,,,,,"$15,808.27"
1,112011603,Conewago Valley SD,Adams,"$36,372,904.44","$27,090,201.54",,"$32,085.92",,,"$86,749.20",,"$86,749.20",,"$64,693.11",,,,"$6,312,078.95",,"$453,714.71","$40,241.25",,,,,,,,,,,,,,"$939,792.07","$117,370.29",,"$53,685.10",,,,,"$591,736.00",,,,,,,"$36,088.76",,$697.78,,,,,,"$84,148.08",,"$371,417.27",,,,,,"$11,455.21"
1,112013054,Fairfield Area SD,Adams,"$11,341,759.52","$8,297,712.14","$30,754.50","$11,001.10","$14,377.14",,,,,,,,,,"$2,141,462.85",,"$155,272.26","$19,929.31",,,,,,,,,,,,,,"$252,935.77","$42,818.81",,"$47,031.46",,"$12,243.56",,"$3,146.07","$147,806.56",,,,,,,"$17,985.50","$36,218.06",,,,"$90,923.21",,,,,,,,,,,"$20,141.22"
1,112013753,Gettysburg Area SD,Adams,"$42,037,208.23","$29,360,831.26","$232,687.61","$38,803.65","$60,110.05","$6,782.15",,,,,"$78,696.63",,,,"$6,107,221.94",,"$818,779.42","$295,230.47",,,,,,,,,,,,,,"$1,377,785.73","$451,446.04",,"$221,824.33",,,,"$284,833.23","$357,528.00",,,,,,,"$706,565.45","$117,607.81","$13,076.10",,,"$1,114,168.06",,,"$3,563.56",,,,,,"$102,266.66",$893.00,"$286,507.08"
1,112015203,Littlestown Area SD,Adams,"$19,158,335.50","$13,740,643.56","$73,820.78","$17,102.33",,,"$45,158.80",,"$45,158.80",,"$23,799.55",,,,"$3,813,142.11",,"$348,713.63",,,,,,,,,,,,,,,"$541,294.56","$148,040.19",,"$62,975.80",,,,,"$226,533.00","$4,311.00",,,,,,"$3,950.75",,"$10,154.33","$2,005.00",,"$37,153.04",,,,,,,,,,,"$14,378.27"
1,112018523,Upper Adams SD,Adams,"$15,527,961.00","$11,255,479.19","$49,502.20","$13,684.94",$958.08,,"$33,717.60",,"$33,717.60",,"$41,967.57",,,,"$2,585,141.13",,"$158,881.20",,,,,,,,,,,,,,,"$378,208.52","$59,561.06",,"$8,294.00","$20,847.43",,,,"$285,267.00",,,,,,"$52,048.55","$5,648.61","$62,960.28",,,,"$351,072.60",,,"$3,963.14",,,,,,"$28,066.45",,"$98,973.85"
1,103020603,Allegheny Valley SD,Allegheny,"$16,582,988.38","$14,149,410.05",,"$15,940.27","$13,693.83",,,,,,"$38,052.68",,,,"$1,117,123.52",,"$175,910.63",,,,,,,,,,,,,,,"$584,220.37","$111,981.47",,,,,,$682.40,"$266,734.25",,,,,,,"$4,996.60",$130.00,,,,,,,,,,,,,"$55,946.30",,"$48,166.01"
1,103020753,Avonworth SD,Allegheny,"$23,633,827.98","$19,203,878.49",,"$22,000.00",,,,,,,"$16,285.94",,,,"$2,628,657.81",,"$611,480.81",,,,,,,,,,,,,,,"$643,289.54","$130,380.12",,"$71,983.25",,,,,"$255,086.02",,,,,,,"$26,130.75","$20,980.00",,,,,,,,,,,,,,,"$3,675.25"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$43,018,787.94","$34,627,134.65",,"$39,969.99",,,,,,,"$36,437.13",,,,"$4,717,717.69",,"$531,764.10",,,,,,,,,,,,,,,"$1,381,565.02","$142,477.14",,"$93,207.00","$29,190.66",,,"$3,072.00","$515,203.62",,,,,,,"$343,414.47","$90,839.01",,,,"$9,000.00",,,,,,,,,"$156,302.94",,"$301,492.52"
1,103021252,Bethel Park SD,Allegheny,"$61,915,467.85","$53,106,192.83",,"$59,190.22","$9,552.00",,,,,,,,"$4,750.00",,"$4,987,132.79",,"$558,161.84",,,,,,,,,,,,,,,"$1,099,348.88","$544,342.20",,"$250,231.94",,,,"$2,534.40","$832,617.42",,,,,,,"$154,635.35","$8,929.80","$60,428.96",,,,,,,,,,,,"$75,228.50","$25,334.81","$136,855.91"
