Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - IDEA Revenue received as Pass Through 6833,ARRA - WIA Revenue received as Pass Through 6834,ARRA - Title I Revenue Received as Pass Through 6835,ARRA - Race to the Top received as Pass Through 6836,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$17,346,228.61","$12,075,062.66","$52,552.93","$14,539.87","$1,386.41",,"$40,329.40",,"$40,329.40",,,,,,"$4,032,101.55",,"$268,976.43",$148.59,,,,,,,,,,,,,,"$319,042.42","$142,524.58",,"$54,746.00",,,,,"$272,649.88",,,,,,,"$2,950.00",,,"$3,640.00","$3,489.56","$7,059.96",,,,,,,,,,,"$14,698.97"
1,112011603,Conewago Valley SD,Adams,"$39,115,290.43","$29,432,662.38",,"$32,262.08",,,"$90,535.50",,"$90,535.50",,"$66,727.69",,,,"$6,701,615.89",,"$553,145.88","$172,787.61",,,,,,,,,,,,,,"$545,864.93","$256,028.55",,"$61,618.13",,,,,"$573,047.00",,,,,,,"$28,262.50",$30.00,"$8,948.80",,,,,,"$441,414.99",,,,,,,,"$59,803.00"
1,112013054,Fairfield Area SD,Adams,"$11,838,930.89","$8,788,064.02","$18,214.22","$10,024.29","$15,337.13",,,,,,,,,,"$2,217,772.00",,"$194,710.41","$13,453.78",,,,,,,,,,,,,,"$255,110.15","$35,942.62",,"$33,122.48",,"$11,093.00",,"$24,730.34","$119,857.00",,,,,,,"$12,579.00","$24,068.67",,,,"$48,218.00",,,,,,,,,$745.78,,"$15,888.00"
1,112013753,Gettysburg Area SD,Adams,"$43,285,759.05","$30,170,018.74","$115,745.69","$38,710.30","$60,368.05","$6,512.20",,,,,"$100,982.44",,,,"$6,652,325.62",,"$678,592.29","$209,562.27",,,,,,,,,,,,,,"$1,691,161.93","$609,241.15",,"$146,879.41",,,,,"$354,207.00",,,,,,,"$697,034.20","$75,424.00",,,,"$1,460,332.11",,,"$2,829.83",,,,,,"$4,747.52",$280.00,"$210,804.30"
1,112015203,Littlestown Area SD,Adams,"$20,684,423.92","$14,873,642.67","$70,063.32","$16,550.21",,,"$47,995.40",,"$47,995.40",,"$23,614.89",,,,"$4,156,188.28",,"$345,645.00",,,,,,,,,,,,,,,"$496,716.16","$206,968.16",,"$75,064.23",,,,,"$251,392.00",,,,,,,"$7,304.86","$2,500.00","$1,750.00","$1,320.00",,"$42,605.54",,,,,,,,,,,"$17,107.80"
1,112018523,Upper Adams SD,Adams,"$16,247,157.56","$12,068,968.41","$35,352.82","$13,371.12","$12,886.16",,"$34,248.60",,"$35,376.80",,"$47,048.14",,,,"$2,392,650.85",,"$123,887.82",,,,,,,,,,,,,,,"$495,551.60","$80,595.74",,,"$39,634.13",,,,"$255,832.00",,,,,,"$78,235.20","$2,000.00","$131,876.50",,,,"$251,596.39",,,,,,,,,"$63,993.23","$19,148.84","$64,903.21"
1,103020603,Allegheny Valley SD,Allegheny,"$17,079,952.00","$14,753,116.00",,"$14,741.00","$13,031.00",,,,,,"$24,780.00",,,,"$1,159,146.00",,"$173,232.00",,,,,,,,,,,,,,,"$421,945.00","$193,192.00",,,,,,$428.00,"$148,245.00",,,,,,,"$5,729.00","$9,475.00",,,,,,,,,,,,,,,"$162,892.00"
1,103020753,Avonworth SD,Allegheny,"$26,646,603.27","$22,482,632.00",,"$21,160.00",,,,,,,"$18,777.81",,,,"$2,790,911.14",,"$389,190.00",,,,,,,,,,,,,,,"$455,482.10","$181,105.00",,"$48,077.00",,,,,"$249,935.11",,,,,,,"$1,141.00",,,,,,,,,,,,,,,,"$8,192.11"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$46,278,939.30","$37,715,122.56",,"$39,044.89",,,,,,,"$42,944.11",,,,"$5,055,958.86",,"$615,465.51",,,,,,,,,,,,,,,"$1,266,206.34","$116,455.92",,"$83,472.64",,,,"$3,224.00","$539,195.56",,,,,,,"$319,176.53","$5,712.00","$8,300.00",,,,,,,,,,,,"$76,902.83",,"$391,757.55"
1,103021252,Bethel Park SD,Allegheny,"$60,284,776.07","$51,110,190.77",,"$53,953.37","$7,847.18",,,,,,,,"$4,250.00",,"$5,370,366.84",,"$693,444.31",,,,,,,,,,,,,,,"$992,157.48","$643,211.02",,"$186,221.00",,,,"$3,359.78","$800,779.20",,,,,,,"$95,878.21","$14,626.71","$103,757.00",,,,,,,,,,,,"$91,578.74","$46,538.04","$66,616.42"
