Cat,AUN,school_district,county,total_local_rev,real_estate_revenue,Interim Real Estate Taxes 6112,Public Utility Realty Tax 6113,Payment in Lieu State & Local 6114,Payment in Lieu Federal 6115,"Per Capita, Section 679 6120",Current Act 1 Earned Income Tax 6131,Current Act 511 Per Capita Taxes 6141,Current Act 511 Occupation Taxes-Flat Rate 6142,Current Act 511 Local Services Taxes 6143,Current Act 511 Business Privilege Taxes-Flat Rate 6145,Current Act 511 Mechanical Device Taxes-Flat Rate 6146,Current Act 511 Taxes-Other Flat Rate Assessments 6149,Current Act 511 Earned Income Taxes 6151,Current Act 511 Occupation Taxes 6152,Current Act 511 Real Estate Transfer Taxes 6153,Current Act 511 Amusement Taxes 6154,Current Act 511 Business Privilege Taxes 6155,Current Act 511 Mechanical Device Taxes-Percentage 6156,Current Act 511 Mercantile Taxes 6157,Current Act 511 Taxes-Other Proportional Assessments 6159,Earned Income Tax 6161,Liquor Sales Tax 6162,Cigarette Tax 6163,Sales and Use Tax 6164,General Business Taxes 6165,Business Use & Occupancy Tax 6166,Non-Business Income Tax 6167,Real Estate Transfer Tax 6168,Current Mercantile Taxes 6169,Delinquent Taxes 6400,Earnings on Investments 6500,Food Service Revenue 6600,Revenue from District Activities 6700,Revenue from Local Gov't Units 6810,State Revenue from Other Public Schools 6821,State Revenue from Intermediate Sources 6829,Federal Revenue from Other PA Public Schools  6831,Federal IDEA Revenue Received as Pass Through 6832,ARRA - Race to the Top received as Pass Through 6836,Federal Cares Act Revenue Received as Pass Through 6837,Federal Revenue from Intermediate Sources 6839,Other Revenue from Intermediate Sources 6890,Rentals 6910,Contributions from Private Sources 6920,Regular Day School Tuition 6941,Summer School Tuition 6942,Adult Education Tuition 6943,Receipts from Other LEAs in PA - Education 6944,Receipts from Out-of-State LEAs 6945,Receipts From Member Districts – AVTS / Special Program Jointure Only 6946,Other Tuition from Patrons 6949,Transportation Services Provided Other PA LEAs 6961,All Other Services Provided Other PA LEAs 6962,All Other Services Provided Other Govt's and LEAs Not Specified Elsewhere 6969,Services Provided Other Funds 6970,Revenue from Community Services Activities 6980,Refunds of a Prior Year Expenditure 6991,Energy Efficiency Revenues and Incentives 6992,Other Revenues Not Specified Elsewhere 6999
1,112011103,Bermudian Springs SD,Adams,"$18,200,366.54","$12,611,083.24","$74,295.07","$16,066.45","$1,386.41",,"$41,535.90",,"$41,535.90",,,,,,"$4,274,313.05",,"$341,211.87",$42.00,,,,,,,,,,,,,,"$427,861.95","$6,924.80",,"$6,288.00",,,,,"$264,133.28",,,,,,,,,$14.00,"$85,264.54",,,,,,,,,,,"$8,410.08"
1,112011603,Conewago Valley SD,Adams,"$41,289,787.91","$30,992,387.77",,"$35,989.81",,,"$91,210.60",,"$91,210.60",,"$59,670.37",,,,"$7,265,072.08",,"$889,998.69","$32,039.88",,,,,,,,,,,,,,"$770,425.60","$6,426.89",,,,,,"$625,458.00","$9,900.00",,,,,"$18,000.00",,"$10,998.00",,,"$2,237.06",,,"$378,762.56",,,,,,,,"$10,000.00"
1,112013054,Fairfield Area SD,Adams,"$12,348,110.43","$8,957,023.24","$53,458.00","$11,245.95","$15,519.78",,,,,,,,,,"$2,361,321.22",,"$310,760.00","$15,470.15",,,,,,,,,,,,,,"$283,489.00","$41,224.00",,"$26,898.38",,,,"$14,449.14","$176,062.00",,,,,"$8,235.00","$6,768.00",,,,"$54,949.00",,,,,,,,,,,"$11,237.57"
1,112013753,Gettysburg Area SD,Adams,"$43,914,928.46","$30,570,065.86","$177,263.76","$39,962.59","$60,372.05","$6,637.71",,,,,"$84,660.22",,,,"$7,242,052.41",,"$1,072,086.04","$263,418.17",,,,,,,,,,,,,,"$1,381,413.61","$212,831.55",,"$95,020.17",,,,"$141,229.29","$393,042.00",,,,,"$506,793.53","$49,731.08",,,,"$384,504.30",,,$788.48,,,,,,"$109,045.72",$10.00,"$1,123,999.92"
1,112015203,Littlestown Area SD,Adams,"$21,107,331.00","$15,309,077.06","$61,057.60","$19,028.57",,,"$49,019.20",,"$49,019.20",,"$19,689.75",,,,"$4,420,315.89",,"$426,127.55",,,,,,,,,,,,,,,"$443,912.38","$9,362.43",,"$4,941.09",,,,,"$235,193.00",,,,,"$6,122.43",,"$2,195.00",,,"$49,446.76",,,,,,,,,,$750.31,"$2,072.78"
1,112018523,Upper Adams SD,Adams,"$16,868,486.97","$12,239,245.81","$26,164.57","$15,077.92","$12,886.16",,"$34,694.40",,"$35,091.60",,"$40,226.90",,,,"$2,934,720.03",,"$313,528.53",,,,,,,,,,,,,,,"$395,273.39","$5,886.37",,"$13,396.70","$47,956.71",,,,"$293,635.40",,,,"$3,408.69","$2,000.00","$105,639.66",,,,"$291,785.68",,,,,,,,,"$19,261.87",,"$38,606.58"
1,103020603,Allegheny Valley SD,Allegheny,"$17,131,092.00","$14,902,578.63",,"$16,365.27","$12,971.57",,,,,,"$34,374.02",,,,"$1,131,902.09",,"$209,483.05",,,,,,,,,,,,,,,"$465,188.96","$5,208.54",,,,,,"$60,919.39","$177,766.58",,,,,"$6,206.20",,,,,,,,,,,,,,"$2,631.90",,"$105,495.80"
1,103020753,Avonworth SD,Allegheny,"$26,625,131.65","$22,169,109.90",,"$24,276.22",,,,,,,"$12,008.57",,,,"$2,914,366.01",,"$620,666.28",,,,,,,,,,,,,,,"$549,878.01","$1,801.93",,,,,,,"$271,828.56",,,,,"$2,728.00",,,,,,,,,,,,,,"$18,708.70",,"$39,759.47"
1,103021102,Baldwin-Whitehall SD,Allegheny,"$47,175,658.78","$38,575,056.42",,"$57,253.41",,,,,,,"$34,593.24",,,,"$5,247,268.99",,"$834,347.86",,,,,,,,,,,,,,,"$1,169,282.96","$22,841.49",,"$36,671.00",,,$500.00,"$2,856.00","$503,688.14",,,,,"$118,074.71","$291,612.00",,"$2,185.00",,,,,,,,,,,"$25,354.22",,"$254,073.34"
1,103021252,Bethel Park SD,Allegheny,"$63,994,717.32","$53,673,466.14",,"$58,305.02","$15,687.69",,,,,,,,"$3,000.00",,"$5,559,600.66",,"$1,164,715.08",,,,,,,,,,,,,,,"$1,934,860.96","$20,469.58",,"$82,195.74",,,,"$180,232.52","$814,366.70",,,,,"$117,669.04","$2,500.00","$120,825.59",,,,,,,,,,,,"$156,404.74","$24,868.60","$65,549.26"
1,103021453,Brentwood Borough SD,Allegheny,"$14,515,037.36","$11,599,870.87",,"$12,318.18",,,,,,,"$11,520.06",,,,"$1,194,192.74",,"$196,281.72",,,,,,,,,,,,,,,"$1,142,671.70","$12,687.30",,"$8,630.00",,,,"$80,716.44","$221,417.63",,,"$3,143.92",$500.00,,"$15,908.77",,,,,,,,,,,,,"$11,636.46",,"$3,541.57"
1,103021603,Carlynton SD,Allegheny,"$20,531,893.00","$16,843,294.01",,"$30,357.97","$2,197.93",,,,,,,,,,"$2,115,599.22",,"$331,236.26",,,,,,,,,,,,,,,"$766,808.93","$10,314.40",,,,,,,"$277,035.35",,,,,"$15,124.07","$18,803.67",,"$1,107.00",,,,,,,"$6,309.00","$2,515.39",,,"$51,667.55",,"$59,522.25"
1,103021752,Chartiers Valley SD,Allegheny,"$50,334,406.79","$40,580,414.99","$74,288.46","$45,033.23","$90,100.00",,,,,,"$73,458.89",,,,"$5,365,952.22",,"$888,935.72",,,,"$525,350.41",,,,,,,,,,,"$1,146,286.85",,,"$29,183.58",,,,,"$431,344.58",,,,"$16,734.00","$24,082.18","$16,045.21",,"$13,700.00",,"$818,874.06",,,,,,,,,"$24,821.60","$7,497.86","$162,302.95"
1,103021903,Clairton City SD,Allegheny,"$4,001,813.01","$2,608,991.50",,,"$9,513.74",,,,,,"$9,531.98",,,,"$377,967.97",,"$50,771.62",,"$151,426.96",,"$12,340.66",,,,,,,,,,,"$429,943.75",$394.20,,"$6,136.00",,,,,"$223,591.74",,,,,"$11,900.00","$54,974.27",,$150.00,,,,,,,,,,,"$22,253.78",,"$31,924.84"
1,103022103,Cornell SD,Allegheny,"$9,834,920.00","$7,848,170.00",,"$8,934.00",,,,,,,"$18,735.00",,,,"$779,064.00",,"$136,294.00",,,,,,,,,,,,,,,"$699,441.00","$11,726.00",,,,,,,"$166,771.00",,,,,"$137,312.00","$8,850.00",,,,,,,,,,,,,"$1,944.00",,"$17,679.00"
1,103022253,Deer Lakes SD,Allegheny,"$22,489,413.76","$18,338,861.06",,"$21,854.13","$114,722.27",,"$31,653.77",,"$40,571.15",,"$19,458.80",,,,"$1,942,964.39",,"$305,669.73",,,,,,,,,,,,,,,"$914,211.41","$20,723.36",,"$9,638.70",,,,,"$425,429.19",,,$281.59,"$4,570.00","$14,212.60","$20,272.83",,,,"$231,010.55",,,,,,,,,"$24,880.58",,"$8,427.65"
1,103022503,Duquesne City SD,Allegheny,"$2,293,339.61","$1,219,414.95",,"$3,464.61","$3,004.78",,,,,,"$6,581.11",,,,"$276,023.20",,"$34,071.78",,,,,,,,,,,,,,,"$267,620.77","$9,514.70",,,,,,"$173,313.59","$103,158.22",,,,,"$45,094.48","$139,139.59",,,,,,,,,,,,,$8.88,,"$12,928.95"
1,103022803,East Allegheny SD,Allegheny,"$16,274,358.00","$12,153,726.00",,"$16,270.00","$126,700.00",,,,,,"$19,994.00",,,,"$1,317,480.00",,"$183,799.00",,"$134,965.00",$692.00,"$238,157.00",,,,,,,,,,,"$1,099,140.00",$338.00,,"$329,933.00",,,,,"$423,559.00",,,,,"$92,277.00","$11,032.00",,,,,,,,,,,,,"$17,792.00",,"$108,504.00"
1,103023153,Elizabeth Forward SD,Allegheny,"$24,218,527.43","$19,376,484.51",,"$21,170.86",,,,,,,"$19,292.71",,,,"$2,215,268.44",,"$240,433.98",,,,,,,,,,,,,,,"$1,384,623.87","$2,740.97",,"$6,707.79",,,,,"$509,093.78",,,,,"$81,972.55","$7,586.00",,,,"$83,257.00",,,,,,,,,"$112,341.82","$5,637.66","$151,915.49"
1,103023912,Fox Chapel Area SD,Allegheny,"$79,627,470.62","$66,628,784.86",,"$73,995.76","$17,327.50",,,,,,"$93,097.26",,,,"$8,043,447.78",,"$1,495,918.67",,,,,,,,,,,,,,,"$2,490,043.96","$56,729.25",,"$37,546.52",,,,,"$542,373.31",,,,,"$14,966.67","$40,530.56",,"$4,125.00",,,,,,,"$13,025.74",,,,"$16,399.28",,"$59,158.50"
