Cat,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Transportation (Regular and Additional) 7310,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,Safe Schools 7360,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$11,448,361.06","$5,878,309.62",$0.00,"$31,048.84",$0.00,$0.00,"$62,273.88",$0.00,"$1,083.00",$0.00,"$1,066,036.04",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,112,095.48","$594,753.83","$40,741.11","$606,458.03",$0.00,$0.00,$0.00,$0.00,$0.00,"$261,223.00","$7,003.44",$0.00,$0.00,$0.00,"$462,372.98","$1,324,961.81",$0.00,$0.00
1,112011603,Conewago Valley SD,Adams,"$17,710,701.55","$8,065,974.47",$0.00,"$95,034.13",$0.00,$0.00,$0.00,$0.00,$944.00,$0.00,"$1,756,254.99",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,339,117.58","$1,402,243.94","$87,948.77","$916,026.94",$0.00,$0.00,$0.00,$0.00,$0.00,"$445,121.00",$0.00,$0.00,"$29,821.00",$0.00,"$921,179.18","$2,651,035.55",$0.00,$0.00
1,112013054,Fairfield Area SD,Adams,"$6,090,586.20","$3,342,759.67",$0.00,"$1,187.94",$0.00,$0.00,"$30,242.34",$0.00,$0.00,$0.00,"$618,902.45",$0.00,$0.00,$0.00,$0.00,$0.00,"$321,839.96","$176,780.78","$20,442.55","$459,774.71",$0.00,"$19,893.43",$0.00,$0.00,$0.00,"$118,631.00",$0.00,$0.00,$0.00,$0.00,"$245,733.70","$734,397.67",$0.00,$0.00
1,112013753,Gettysburg Area SD,Adams,"$15,878,810.47","$7,257,694.29",$0.00,"$54,418.80",$0.00,$0.00,"$191,176.50",$0.00,$160.00,$0.00,"$1,804,235.99",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,616,060.08","$396,824.81","$61,854.45","$1,114,463.88",$0.00,"$52,505.35",$0.00,$0.00,$0.00,"$247,644.00","$24,540.56",$0.00,$0.00,$0.00,"$781,656.15","$2,275,575.61",$0.00,$0.00
1,112015203,Littlestown Area SD,Adams,"$11,473,567.84","$6,083,869.53",$0.00,"$21,696.32",$0.00,$0.00,"$67,841.03",$0.00,$28.00,$0.00,"$1,267,156.28",$0.00,$0.00,$0.00,$0.00,$0.00,"$635,619.42","$298,148.05","$36,830.00","$897,872.80",$0.00,"$4,400.00",$0.00,$0.00,$0.00,"$249,573.00",$0.00,$0.00,$0.00,$0.00,"$485,311.26","$1,425,222.15",$0.00,$0.00
1,112018523,Upper Adams SD,Adams,"$10,992,845.39","$6,065,090.67",$0.00,"$9,231.61",$0.00,$0.00,"$43,166.48",$0.00,"$1,275.00",$0.00,"$950,863.88",$0.00,$0.00,$0.00,$0.00,$0.00,"$941,677.12","$165,386.90","$32,328.90","$828,258.82",$0.00,$0.00,$0.00,"$209,215.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$446,334.93","$1,300,016.08",$0.00,$0.00
1,103020603,Allegheny Valley SD,Allegheny,"$5,753,892.98","$2,317,633.58",$0.00,$0.00,$0.00,$0.00,$20.49,$0.00,$0.00,$0.00,"$673,731.47",$0.00,$0.00,$0.00,$0.00,$0.00,"$280,239.13","$794,856.49","$20,797.04","$396,064.09",$0.00,$0.00,$0.00,$0.00,$0.00,"$82,223.00",$0.00,$0.00,"$29,375.22",$0.00,"$301,641.14","$857,311.33",$0.00,$0.00
1,103020753,Avonworth SD,Allegheny,"$6,069,365.32","$2,401,883.94",$0.00,"$27,978.92",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$687,786.13",$0.00,$0.00,$0.00,$0.00,$0.00,"$675,743.25","$251,774.00","$32,510.94","$246,376.20",$0.00,$0.00,$0.00,$0.00,$0.00,"$81,520.00",$0.00,$0.00,$0.00,$0.00,"$433,055.07","$1,230,736.87",$0.00,$0.00
1,103021102,Baldwin-Whitehall SD,Allegheny,"$20,899,823.35","$9,064,639.38",$38.00,"$15,113.22",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,594,526.06",$0.00,$0.00,$0.00,$0.00,$0.00,"$1,316,239.59","$874,948.13","$1,995.16","$1,662,258.31",$0.00,$0.00,$0.00,"$479,590.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,241,804.60","$3,648,670.90",$0.00,$0.00
1,103021252,Bethel Park SD,Allegheny,"$20,389,549.78","$8,559,092.29",$0.00,$0.00,$0.00,$0.00,$335.07,$0.00,$0.00,$0.00,"$2,463,056.65",$0.00,$0.00,$0.00,"$191,262.50",$0.00,"$1,113,495.65","$554,775.41","$95,772.20","$1,699,762.12",$0.00,"$30,000.00",$0.00,$0.00,$0.00,"$385,562.00",$0.00,$0.00,$0.00,$0.00,"$1,360,563.58","$3,935,872.31",$0.00,$0.00
1,103021453,Brentwood Borough SD,Allegheny,"$8,612,008.68","$4,577,213.39",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$790,743.66",$0.00,$0.00,$0.00,$0.00,$0.00,"$122,143.61","$574,130.45","$24,405.81","$624,972.93",$0.00,$0.00,$0.00,$0.00,$0.00,"$168,263.00",$0.00,$0.00,$0.00,$0.00,"$474,031.99","$1,256,103.84",$0.00,$0.00
