Cat,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,Safe Schools 7360,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$11,339,429.73","$5,980,420.20",,"$20,910.15",,,"$58,702.22",,,"$2,400.00",,"$1,094,472.91",,,,,,"$1,085,618.10",,"$41,079.87","$40,623.58","$605,672.23",,,,,,"$288,462.00","$7,467.54",,,,"$452,882.82","$1,660,718.11",,,
1,112011603,Conewago Valley SD,Adams,"$17,542,519.24","$8,309,479.26",,"$33,405.05",,,,,,$214.00,,"$1,809,161.96",,,,,,"$1,068,312.52","$149,968.70","$427,497.19","$85,663.56","$917,628.37",,,,,,"$496,761.00",,,"$3,126.00",,"$859,279.09","$3,382,022.54",,,
1,112013054,Fairfield Area SD,Adams,"$6,268,410.17","$3,396,979.92",,"$1,819.15",,,"$26,039.49",,"$2,625.00",,,"$630,984.34",,,,,,"$491,488.24","$6,478.41",,"$19,786.70","$459,877.40",,,,,,"$147,924.00",,,,,"$248,614.50","$835,793.02",,,
1,112013753,Gettysburg Area SD,Adams,"$16,689,910.94","$7,467,021.58",,"$19,306.95",,,"$116,608.02",,,$240.00,,"$1,857,383.70",,,,,,"$1,660,379.92","$109,223.25","$418,373.04","$61,152.75","$1,116,264.83",,"$52,273.68",,,,"$298,479.00",,,,,"$765,005.30","$2,748,198.92",,,
1,112015203,Littlestown Area SD,Adams,"$11,802,040.54","$6,181,806.33",,"$90,763.86",,,"$63,280.48",,"$2,975.00",,,"$1,295,592.05",,,,,,"$516,907.23","$64,295.00","$104,255.59","$34,640.58","$900,896.42",,,,,,"$285,937.00",,,,,"$503,799.53","$1,756,891.47",,,
1,112018523,Upper Adams SD,Adams,"$11,459,080.68","$6,195,731.13",,"$6,664.49",,,"$73,224.13",,,"$1,342.00",,"$972,119.62",,,,,,"$903,496.18","$31,185.00","$196,363.23","$33,115.13","$809,455.27",,,,,,"$246,843.00",,,,,"$464,230.11","$1,525,311.39",,,
1,103020603,Allegheny Valley SD,Allegheny,"$5,573,333.26","$2,386,250.05",,"$9,735.37",,,,,,,,"$682,544.19",,,,,,"$273,847.98","$9,240.00","$280,086.16","$19,895.67","$396,096.13",,"$31,943.40",,,,"$104,493.00",,,"$33,462.62",,"$304,674.28","$1,041,064.41",,,
1,103020753,Avonworth SD,Allegheny,"$6,404,488.57","$2,450,162.87",,"$23,020.16",,,,,,,,"$695,434.30",,,,,,"$633,863.90",,"$230,345.73","$34,586.06","$246,919.48",,,,"$10,000.00",,"$95,393.00",,,,,"$472,781.42","$1,511,981.65",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$21,704,783.25","$9,280,213.06",,"$9,940.40",,,,,,,,"$2,691,625.75",,,,,,"$1,389,724.66",,,"$180,405.69","$1,663,504.85",,,,"$527,564.00",,,,,,,"$1,126,220.37","$4,835,584.47",,,
1,103021252,Bethel Park SD,Allegheny,"$21,660,971.78","$8,731,507.56",,,,,,,,,,"$2,522,440.11",,,,"$205,962.50",,"$890,017.97","$198,660.00","$549,903.75","$93,017.37","$1,701,109.01",,,,,,"$505,751.00",,,,,"$1,314,833.69","$4,947,768.82",,,
