Ctgy,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,Safe Schools 7360,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$12,647,901.25","$6,184,824.41",,"$51,912.78",,,"$61,916.53",,,"$1,069.00",,"$1,132,571.71",,,,,,"$1,092,448.40","$24,255.00","$347,319.04","$37,632.65","$607,202.28",,,,,,"$330,674.00","$6,620.73",,,,"$491,194.57","$2,278,260.15",,,
1,112011603,Conewago Valley SD,Adams,"$19,709,817.43","$8,826,139.08",,"$14,403.32",,,"$18,571.19",,,$829.00,,"$1,914,566.08",,,,,$84.62,"$1,171,321.24","$130,130.00","$514,954.72","$85,113.74","$919,489.57",,,,,,"$573,730.00",,,,,"$985,332.86","$4,555,152.01",,,
1,112013054,Fairfield Area SD,Adams,"$6,783,460.16","$3,500,116.93",,"$9,731.82",,,"$15,886.67",,,,,"$635,911.34",,,,,$25.90,"$500,017.58","$6,930.00","$177,792.07","$18,455.29","$459,682.83",,,,,,"$147,924.00",,,"$5,148.04",,"$246,054.59","$1,059,783.10",,,
1,112013753,Gettysburg Area SD,Adams,"$18,169,839.28","$7,816,293.64",,"$147,238.87",,,"$111,589.64",,,$888.00,,"$1,928,724.07",,,,,$35.00,"$1,758,974.06","$116,655.00","$440,240.54","$61,054.14","$1,108,496.75",,"$76,076.26",,,,"$298,479.00","$15,624.87",,,,"$779,019.58","$3,510,449.86",,,
1,112015203,Littlestown Area SD,Adams,"$12,754,390.13","$6,366,883.14",,"$10,080.53",,,"$54,539.64",,"$3,850.00",,,"$1,335,541.55",,,,,,"$670,043.54","$82,775.00","$197,457.25","$34,555.27","$897,840.38",,,,,,"$312,057.00",,,,,"$511,551.33","$2,277,215.50",,,
1,112018523,Upper Adams SD,Adams,"$12,178,811.93","$6,471,854.51",,"$10,271.07",,,"$70,949.00",,,$570.00,,"$1,011,222.95",,,,,,"$941,085.80","$36,190.00",,"$34,021.43","$841,955.59",,,,,,"$268,707.00",,,,,"$466,068.39","$2,025,916.19",,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,279,933.64","$2,520,781.49",,"$72,158.48",,,,,,,,"$696,378.10",,,,,,"$385,661.41","$13,090.00","$295,104.00","$19,590.02","$396,038.25",,"$33,125.00",,,,"$104,493.00",,,"$15,887.82",,"$322,500.00","$1,405,126.07",,,
1,103020753,Avonworth SD,Allegheny,"$7,101,977.40","$2,549,918.46",,"$17,524.17",,,,,,,,"$786,818.98",,,,,,"$436,330.12","$76,230.00","$310,567.05","$36,636.24","$246,412.62",,,,,,"$108,288.00",,,,,"$476,260.78","$2,056,990.98",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$23,245,457.05","$9,712,326.88",,,,,,,,,,"$2,658,250.30",,,,,,"$1,009,902.45","$152,845.00","$1,145,776.25","$90,827.01","$1,662,227.09",,,,"$615,849.00",,,,,,,"$1,134,400.27","$5,063,052.80",,,
1,103021252,Bethel Park SD,Allegheny,"$23,763,464.63","$9,047,616.49",,"$29,429.37",,,,,,,,"$2,589,761.03",,,,"$191,250.00",,"$884,178.15","$197,505.00","$985,663.74","$89,957.78","$1,700,233.81",,,,,,"$505,751.00",,,,,"$1,352,667.94","$6,189,450.32",,,
1,103021453,Brentwood Borough SD,Allegheny,"$9,533,859.27","$4,862,679.91",,"$8,504.63",,,,,,,,"$835,024.42",,,,,,"$157,612.00","$1,540.00","$416,495.70","$24,791.75","$624,755.68",,,,,,"$218,768.00",,,,,"$443,306.76","$1,940,380.42",,,
1,103021603,Carlynton SD,Allegheny,"$9,038,131.00","$4,258,681.00",,"$20,362.00",,,,,,,,"$919,207.00",,,,,$403.00,"$570,806.00",,,"$27,538.00","$558,022.00",,,,,,"$189,030.00",,,,,"$546,918.00","$1,947,164.00",,,
1,103021752,Chartiers Valley SD,Allegheny,"$15,336,890.80","$5,008,317.29",,"$82,110.36",,,,,,,,"$1,565,792.54",,,,,$0.48,"$922,716.20","$172,095.00","$278,912.59","$60,790.42","$910,162.62",,,,,,"$303,975.00",,,,,"$1,130,710.60","$4,901,307.70",,,
1,103021903,Clairton City SD,Allegheny,"$11,317,031.00","$7,338,617.00",,"$33,506.00",,,,,,,,"$1,118,418.00",,,,,$155.00,"$314,731.00","$44,660.00",,"$13,377.00","$466,839.00",,,,,,"$220,599.00",,,,,"$321,220.00","$1,444,909.00",,,
1,103022103,Cornell SD,Allegheny,"$4,234,746.00","$1,900,164.00",,"$24,034.00",,,,,,,,"$461,225.00",,,,,,"$199,872.00","$37,345.00",,"$11,574.00","$254,747.00",,,,,,"$96,726.00",,,,,"$227,739.00","$1,021,320.00",,,
