Ctgy,AUN,school_district,county,total_state_rev,bef,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$13,093,355.94","$6,215,548.35",,"$33,706.17",,,"$96,153.59",,,"$1,134.00",,"$1,150,647.34",,,,,,"$1,330,654.68","$19,635.00","$349,328.61","$35,790.23","$607,622.61",,"$25,000.00",,,,"$330,674.00","$8,235.28","$7,623.01",,,,"$505,144.30","$2,376,458.77",,,
1,112011603,Conewago Valley SD,Adams,"$20,198,895.99","$8,994,585.29",,"$13,973.24",,,"$8,071.76",,,"$1,017.00",,"$1,946,775.16",,,,,,"$1,110,990.86","$130,130.00","$570,939.82","$84,898.51","$915,216.54",,,,,,"$573,730.00","$25,000.00",,,"$1,660.00",,"$1,027,942.60","$4,793,965.21",,,
1,112013054,Fairfield Area SD,Adams,"$6,992,480.69","$3,522,816.74",,"$15,739.92",,,"$19,941.53",,,,,"$646,992.55",,,,,$18.46,"$574,335.48","$6,930.00","$178,561.94","$18,475.00","$459,871.98",,,"$25,000.00",,,"$147,924.00",,,,"$4,277.03",,"$252,744.87","$1,118,851.19",,,
1,112013753,Gettysburg Area SD,Adams,"$18,311,427.74","$7,968,509.05",,"$119,654.80",,"$8,197.34","$140,366.33",,,$665.00,,"$1,791,896.88",,,,,,"$1,784,806.90","$110,880.00","$323,641.39","$58,681.56","$1,107,661.11",,"$38,635.32",,,,"$298,479.00","$7,489.37",,,,,"$802,853.19","$3,749,010.50",,,
1,112015203,Littlestown Area SD,Adams,"$12,834,722.09","$6,443,805.88",,,,,"$54,020.72",,"$3,010.00",,,"$1,350,482.62",,,,,,"$558,983.24","$69,300.00","$203,724.82","$35,063.29","$900,074.17",,"$25,000.00",,,,"$312,057.00",,,,,,"$523,506.02","$2,355,694.33",,,
1,112018523,Upper Adams SD,Adams,"$12,649,235.67","$6,587,971.61",,"$10,559.66",,,"$51,017.09",,,"$1,160.00",,"$1,035,133.33",,,,"$144,500.00","$1,087.12","$1,012,536.99","$32,725.00",,"$32,899.01","$819,302.73",,"$25,000.00",,,,"$268,707.00","$8,235.28",,,,,"$476,106.07","$2,142,294.78",,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,270,011.00","$2,532,611.14",,"$2,938.39",,,,,,,,"$701,880.09",,,,,,"$453,522.50","$11,165.00","$276,302.22","$18,362.24","$396,444.50",,,,,,"$104,493.00",,,,"$5,197.50",,"$324,501.71","$1,442,592.71",,,
1,103020753,Avonworth SD,Allegheny,"$7,213,877.71","$2,584,648.00",,,,,,,,,,"$725,183.92",,,,,,"$415,828.92","$83,930.00","$289,040.88","$41,555.26","$246,498.00",,"$25,000.00",,,,"$108,288.00",,,,,,"$499,951.91","$2,193,952.82",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$23,899,782.61","$9,889,193.26",,,,,,,,,,"$2,844,378.23",,,,,"$2,557.90","$819,515.87","$122,045.00","$1,155,612.70","$92,677.08","$1,662,814.19",,"$171,400.00","$65,065.00",,,"$615,849.00",,,,,,"$1,176,794.96","$5,281,879.42",,,
1,103021252,Bethel Park SD,Allegheny,"$23,689,420.82","$9,134,302.28",,,,,,,,,,"$2,624,475.84",,,,"$144,500.00",,"$850,430.01","$153,230.00","$508,705.26","$85,902.17","$1,699,799.40",,"$25,000.00","$80,000.00",,,"$505,751.00","$8,235.28",,,,,"$1,464,164.15","$6,404,925.43",,,
1,103021453,Brentwood Borough SD,Allegheny,"$9,814,507.84","$4,974,687.61",,"$10,145.77",,,,,,,,"$885,799.87",,,,,,"$132,818.24","$2,695.00","$417,165.44","$24,288.49","$624,760.45",,"$25,000.00",,,,"$218,768.00",,,,,,"$453,332.78","$2,045,046.19",,,
1,103021603,Carlynton SD,Allegheny,"$9,049,308.22","$4,315,122.49",,$476.80,,,"$8,235.28",,,,,"$935,287.20",,,,,$772.04,"$477,382.62","$80,850.00",,"$21,367.36","$557,987.96",,"$25,000.00",,,,"$189,030.00",,,,,,"$435,535.57","$2,002,260.90",,,
