,AUN,school_district,county,total_state_rev,bef,formula_funding_1920,bef_soc_sec_1920,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$13,194,218.31","$6,511,824.07","$6,337,439.43","$174,384.64",,"$65,230.53",,,"$114,166.72",,,"$1,160.00",,"$1,191,844.44",,,,,,"$1,252,885.29","$18,865.00","$220,141.91","$35,253.70","$611,545.84",,,,,,"$330,674.00","$26,764.72","$13,963.63",,,,,"$332,477.68","$2,467,420.78",,,
1,112011603,Conewago Valley SD,Adams,"$21,459,481.27","$10,357,704.24","$9,318,191.96","$1,039,512.28",,"$43,632.38",,,,,,"$1,075.00",,"$2,107,877.13",,,,,,"$1,584,857.71","$129,360.00","$572,771.68","$83,013.19","$914,773.42",,,,,,"$573,730.00","$26,233.24",,,,,,,"$5,064,453.28",,,
1,112013054,Fairfield Area SD,Adams,"$7,142,907.99","$3,569,217.46","$3,569,217.46",,,"$43,108.43",,,"$17,776.70",,,,,"$659,754.95",,,,,"$56,910.77","$612,925.17","$4,235.00","$162,699.88","$11,341.00","$460,188.61",,,,,,"$147,924.00","$26,644.62",,,,,,"$230,058.88","$1,140,122.52",,,
1,112013753,Gettysburg Area SD,Adams,"$19,061,752.17","$9,037,684.74","$8,213,313.31","$824,371.43",,"$142,095.54",,"$2,884.67","$204,738.06",,,$480.00,,"$1,838,944.95",,,,,,"$1,837,697.66","$107,800.00","$332,367.45","$60,942.49","$1,109,242.70",,"$92,945.68",,,,"$298,479.00","$26,764.72","$30,439.91",,,,,,"$3,938,244.60",,,
1,112015203,Littlestown Area SD,Adams,"$13,049,673.59","$7,033,329.21","$6,539,887.81","$493,441.40",,"$14,198.20",,,"$53,769.85",,,,,"$1,349,163.07",,,,,,"$588,431.36","$53,515.00","$202,493.59","$34,844.45","$896,575.77",,"$52,860.75",,,,"$312,057.00","$2,000.00",,,,,,,"$2,456,435.34",,,
1,112018523,Upper Adams SD,Adams,"$13,410,311.16","$7,196,210.36","$6,689,478.89","$506,731.47",,"$3,140.91",,,"$80,142.11",,,"$2,120.00",,"$1,080,355.78",,,,"$148,750.00",,"$1,078,962.44","$34,265.00","$420,120.11","$31,040.06","$826,585.08",,"$77,604.20",,,,"$268,707.00","$26,764.72",,,,,,"-$56,878.38","$2,192,421.77",,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,469,190.00","$2,575,047.71","$2,575,047.71",,,"$105,127.17",,,,,,,,"$722,114.00",,,,,,"$387,365.44",,"$279,881.00",,"$396,402.00",,"$58,319.00",,,,"$104,493.00",,,,,"$13,474.68",,"$326,940.00","$1,500,026.00",,,
1,103020753,Avonworth SD,Allegheny,"$7,631,530.00","$3,193,259.87","$2,649,629.66","$543,630.21",,,,,,,,,,"$724,368.18",,,,,,"$428,282.62","$83,930.00","$338,179.21","$43,658.00","$246,501.12",,"$90,680.00",,,,"$102,226.24","$7,777.76",,,,,,,"$2,372,667.00",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$25,299,005.26","$11,405,396.98","$10,212,704.57","$1,192,692.41",,,,,,,,,,"$2,805,298.43",,,,,,"$1,295,113.27","$490,366.42","$1,157,804.14","$92,120.21","$1,661,998.15",,,,,,"$615,849.00","$32,941.12",,,,,,"$33,785.75","$5,708,331.79",,,
1,103021252,Bethel Park SD,Allegheny,"$24,734,968.56","$10,746,651.05","$9,270,478.30","$1,476,172.75",,,,,,,,,,"$2,715,229.17",,,,"$148,750.00",,"$822,443.53","$150,150.00","$488,847.33","$82,944.24","$1,700,137.75",,,"$64,991.04",,,"$505,751.00","$20,358.58",,,,"$400,000.00",,,"$6,888,714.87",,,
1,103021453,Brentwood Borough SD,Allegheny,"$10,084,756.05","$5,469,303.93","$5,024,769.60","$444,534.33",,"$13,726.15",,,,,,,,"$936,388.18",,,,,,"$116,927.11","$1,540.00","$419,772.35","$23,823.32","$624,737.93",,"$216,880.00",,,,"$218,768.00","$9,722.20",,,,,,,"$2,033,166.88",,,
1,103021603,Carlynton SD,Allegheny,"$9,239,235.68","$4,838,670.74","$4,402,537.33","$436,133.41",,"$13,689.94",,,,,,,,"$971,560.70",,,,,,"$489,844.37","$73,150.00",,"$27,900.00","$558,046.64",,,,,,"$189,030.00","$18,529.38",,,,,,,"$2,058,813.91",,,
