,AUN,school_district,county,total_state_rev,bef,formula_funding_2021,bef_soc_sec_2021,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",Sewage Treatment Operations / Environmental Subsidies 7350,School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,PA Accountability Grants 7501,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112011103,Bermudian Springs SD,Adams,"$13,098,618.37","$6,908,366.88","$6,337,434.68","$570,932.20",,"$41,396.78",,,"$84,410.88",,,,,"$1,191,805.62",,,,,,"$1,111,367.59","$19,250.00","$221,455.28","$34,860.03","$610,419.50",,"$20,640.56",,,,"$330,674.00",,"$11,230.98",,,,,,"$2,512,740.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112011603,Conewago Valley SD,Adams,"$21,330,980.75","$10,532,527.04","$9,318,178.99","$1,214,348.05",,"$41,815.49",,,,,,"$1,000.00",,"$2,107,771.35",,,,,,"$1,223,831.20","$115,500.00","$419,585.44","$82,308.21","$920,564.60",,,,,,"$573,730.00",,,,,"$6,400.00",,,"$5,305,947.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112013054,Fairfield Area SD,Adams,"$6,963,923.97","$3,843,590.89","$3,569,217.11","$274,373.78",,"$85,725.41",,,"$8,903.00",,,,,"$659,738.50",,,,,,"$473,878.23","$3,850.00","$179,799.60","$17,636.31","$460,081.10",,,,,,"$147,924.00",,,,,,,,"$1,082,796.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112013753,Gettysburg Area SD,Adams,"$19,314,678.23","$9,056,226.10","$8,213,303.40","$842,922.70",,"$142,918.87",,,"$330,703.00",,,,,"$1,988,903.33",,,,,,"$1,778,272.28","$98,945.00","$333,117.06","$60,995.10","$1,109,053.51",,"$25,281.79",,,,"$298,479.00",$745.91,"$30,638.23",,,,,,"$4,060,399.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112015203,Littlestown Area SD,Adams,"$13,309,256.60","$7,131,517.41","$6,539,883.08","$591,634.33",,"$32,486.80",,,"$39,723.19",,"$1,365.00",,,"$1,349,136.86",,,,,,"$570,103.93","$68,915.00","$206,242.92","$33,302.85","$899,650.54",,"$14,746.25",,,,"$312,057.00","$19,388.84",,,,,,,"$2,630,620.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,112018523,Upper Adams SD,Adams,"$13,145,114.36","$7,238,271.15","$6,689,472.43","$548,798.72",,"$11,671.48",,,"$94,247.00",,,,,"$1,080,316.03",,,,"$136,354.13",,"$921,969.34","$37,345.00","$108,031.28","$30,256.63","$815,708.84",,"$60,960.24",,,,"$268,707.00",,,,,,,,"$2,341,276.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,431,041.00","$2,908,663.37","$2,575,045.04","$333,618.33",,"$110,867.21",,,,,,,,"$722,098.96",,,,,,"$313,294.62","$9,625.00","$228,076.22","$19,393.79","$396,534.18",,"$112,473.00",,,,"$104,493.00","$13,611.08",,,,"$18,643.80",,,"$1,473,266.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103020753,Avonworth SD,Allegheny,"$7,666,653.08","$3,211,462.66","$2,649,627.10","$561,835.56",,,,,,,,,,"$724,355.93",,,,,,"$354,876.97","$64,681.00","$288,971.18","$45,121.55","$246,608.10",,"$35,098.75",,,"$9,951.00","$108,288.00","$17,499.96",,,,,,,"$2,559,737.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$24,565,521.85","$11,581,456.11","$10,212,692.70","$1,368,763.41",,,,,,,,,,"$2,805,204.46",,,,,,"$698,834.50","$123,585.00","$1,171,316.32","$93,574.49","$1,662,661.95",,"$90,000.00","$45,000.00",,,"$615,849.00","$2,058.88",,,,,,"-$19,881.07","$5,695,862.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,103021252,Bethel Park SD,Allegheny,"$24,373,677.98","$10,787,504.85","$9,270,470.92","$1,517,033.93",,,,,,,,,,"$2,715,148.63",,,,"$148,749.96",,"$721,809.06","$141,680.00","$483,807.71","$83,631.61","$1,700,097.99",,,$8.96,,,"$505,751.00",,,,,,,,"$7,085,488.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
