Cat,AUN,school_district,county,total_state_rev,bef,formula_funding,bef_soc_sec_2122,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Vocational Education 7220,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340",School Safety and Security Grants 7361,Other Safe Schools Grants 7369,Vocational Training of the Unemployed 7400,Project 720/High School Reform 7503,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1,112011103,Bermudian Springs SD,Adams,"$13,465,515.44","$7,001,239.31","$6,456,388.48","$544,850.83",,"$24,323.72",,"$51,434.00",,"$1,760.00",,"$1,229,161.02",,,,,,"$1,226,061.73","$18,865.00","$221,006.29","$31,882.92","$610,377.65","$57,009.00",,,,"$330,674.00",,,,,,,"$2,661,720.80",,,
1,112011603,Conewago Valley SD,Adams,"$22,517,270.11","$11,016,123.13","$9,872,772.42","$1,143,350.71",,"$61,163.54",,"$36,812.00",,"$1,320.00",,"$2,289,148.06",,,,,,"$1,186,235.68","$102,795.00","$666,297.01","$76,848.72","$914,386.35",,,,,"$573,730.00",,"$5,964.11",,,,,"$5,586,446.51",,,
1,112013054,Fairfield Area SD,Adams,"$6,958,886.23","$3,682,098.54","$3,603,431.48","$78,667.06",,"$56,917.78",,"$2,241.00",,,,"$686,558.98",,,,,,"$459,615.79","$6,160.00","$16,509.34","$16,283.34","$460,380.61",,,,,"$147,924.00",,,,,,"$189,906.14","$1,234,290.71",,,
1,112013753,Gettysburg Area SD,Adams,"$18,850,889.72","$9,380,548.49","$8,526,327.48","$854,221.01",,"$15,494.65",,"$241,855.00",,"$2,132.00",,"$2,078,759.97",,,,,,"$1,195,105.49","$83,545.00",,"$55,700.92","$1,112,170.51","$100,138.84",,,,"$298,479.00",,"$42,344.65",,,,,"$4,244,615.20",,,
1,112015203,Littlestown Area SD,Adams,"$13,768,503.09","$7,270,688.91","$6,684,262.33","$586,426.58",,"$43,824.55",,"$61,163.00","$1,435.00",,,"$1,424,764.34",,,,,,"$574,272.99","$101,255.00","$212,274.15","$32,691.46","$896,425.21",,,,,"$312,057.00","$13,611.16","$8,213.28",,,,,"$2,815,827.04",,,
1,112018523,Upper Adams SD,Adams,"$13,720,397.56","$7,495,985.89","$6,968,518.28","$527,467.61",,$753.53,,"$88,050.00",,"$3,560.00",,"$1,187,222.19",,,,"$148,750.00",,"$1,054,240.10","$34,265.00","$126,093.45","$30,513.18","$817,388.27",,,,,"$268,707.00",,,,,,,"$2,464,868.95",,,
1,103020603,Allegheny Valley SD,Allegheny,"$6,395,175.27","$2,974,979.25","$2,654,833.99","$320,145.26",,"$4,221.68",,,,,,"$733,162.25",,,,,,"$307,284.75","$9,625.00","$262,614.64","$18,285.94","$399,285.42","$48,191.45",,,,"$104,493.00","$8,519.64",,,"$12,884.26",,,"$1,511,627.99",,,
1,103020753,Avonworth SD,Allegheny,"$7,826,770.35","$3,391,020.12","$2,826,774.96","$564,245.16",,"$6,345.74",,,,,,"$738,587.00",,,,,,"$348,683.66","$46,970.00","$276,474.43","$43,315.34","$247,173.38",,,,,"$108,288.00","$1,629.00",,,,,,"$2,618,283.68",,,
1,103021102,Baldwin-Whitehall SD,Allegheny,"$25,729,861.21","$12,139,032.18","$10,760,593.26","$1,378,438.92",,,,,,,,"$2,958,998.72",,,,,,"$806,915.04","$102,410.00","$1,161,545.77","$94,105.29","$1,663,651.11",,,,,"$615,849.00",,,,,,"-$26,187.67","$6,213,541.77",,,
1,103021252,Bethel Park SD,Allegheny,"$24,821,517.42","$10,967,872.91","$9,411,249.08","$1,556,623.83",,,,,,,,"$2,793,821.28",,,,"$148,750.04",,"$698,316.82","$89,320.00","$353,935.66","$78,399.52","$1,699,867.36",,"$20,000.00",,,"$505,751.00",,,,,,,"$7,465,482.83",,,
1,103021453,Brentwood Borough SD,Allegheny,"$10,654,729.78","$5,773,050.13","$5,226,102.68","$546,947.45",,,,,,,,"$969,284.78",,,,,,"$41,391.05",$385.00,"$421,333.82","$20,184.88","$625,850.67",,,,,"$218,768.00","$18,083.36",,,,,,"$2,566,398.09",,,
1,103021603,Carlynton SD,Allegheny,"$9,461,738.25","$5,026,990.60","$4,575,626.65","$451,363.95",,,,,,,,"$1,030,057.20",,,,,,"$290,596.96","$53,130.00",,"$30,392.02","$558,588.45","$40,105.00",,,,"$189,030.00",,,,,,,"$2,242,848.02",,,
1,103021752,Chartiers Valley SD,Allegheny,"$16,466,873.96","$6,659,315.87","$5,435,315.75","$1,224,000.12",,"$101,366.18",,,,,,"$1,852,524.20",,,,,,"$723,133.95","$86,240.00","$164,968.01","$60,162.68","$911,525.00","$40,000.00","$24,287.71",,,"$303,975.00",,,$185.50,,,,"$5,539,189.86",,,
1,103021903,Clairton City SD,Allegheny,"$12,575,051.54","$8,396,923.57","$8,038,559.25","$358,364.32",,,,,,,,"$1,202,157.52",,,,,,"$180,679.46","$44,660.00",,"$14,401.70","$466,853.06","$30,000.00",,,,"$220,599.00","$231,300.38",,,$977.44,,,"$1,786,499.41",,,
1,103022103,Cornell SD,Allegheny,"$4,447,202.00","$2,186,416.00","$1,958,603.00","$227,813.00",,,,,,,,"$524,936.00",,,,,,"$219,597.00","$25,795.00",,"$10,112.00","$254,787.00",,"$20,000.00",,,"$96,726.00",,,,,,,"$1,108,833.00",,,
1,103022253,Deer Lakes SD,Allegheny,"$13,822,028.91","$6,973,082.59","$6,346,485.18","$626,597.41",,"$21,386.43",,,,,,"$1,427,155.78",,,,,,"$474,646.50","$22,715.00","$619,103.45","$33,111.29","$931,722.60",,"$14,418.30",,,"$264,465.00",,,,,,,"$3,040,221.97",,,
1,103022503,Duquesne City SD,Allegheny,"$16,387,964.00","$12,902,531.00","$12,689,263.00","$213,268.00",,"$5,599.00",,,,,,"$822,414.00",,,,"$153,660.00",,"$240,306.00","$50,435.00","$217,272.00","$6,513.00","$367,478.00","$30,000.00",,,,"$202,807.00",,,,,,,"$1,388,949.00",,,
1,103022803,East Allegheny SD,Allegheny,"$17,652,646.00","$8,598,574.98","$7,974,937.00","$623,637.98",,"$97,123.22",,,,,,"$1,442,375.16",,,,,,"$518,854.37","$319,550.00","$67,414.23","$26,532.23","$960,680.00",,"$34,999.89",,,"$2,376,130.00","$272,727.24",,,,,,"$2,937,684.68",,,
1,103023153,Elizabeth Forward SD,Allegheny,"$20,358,338.38","$10,694,486.32","$9,827,174.42","$867,311.90",,"$32,268.35",,,,,,"$1,975,448.31",,,,,,"$806,807.30","$18,480.00","$773,235.25","$41,965.56","$1,299,233.55","$40,000.00","$150,000.00",,,"$453,629.00",,,,,,,"$4,072,784.74",,,
1,103023912,Fox Chapel Area SD,Allegheny,"$20,955,927.11","$5,846,338.68","$4,091,310.38","$1,755,028.30",,"$6,480.88",,,,,,"$2,452,856.66",,,,,,"$705,977.07","$188,265.00","$1,691,679.84","$77,916.97","$1,476,270.35",,,,,"$205,030.00",,,,$750.00,,,"$8,304,361.66",,,
1,103024102,Gateway SD,Allegheny,"$21,072,078.28","$9,374,343.70","$8,216,100.83","$1,158,242.87",,"$78,685.49",,,,,,"$2,427,539.02",,,,,,"$782,005.52","$108,185.00","$527,032.04","$68,117.10","$1,459,344.11",,,,,"$385,880.00",,,,,,,"$5,860,946.30",,,
1,103024603,Hampton Township SD,Allegheny,"$15,133,595.97","$6,353,480.74","$5,336,214.64","$1,017,266.10",,"$84,310.22",,,,,,"$1,615,793.10",,,,,,"$658,484.43","$72,380.00","$474,718.73","$57,142.73","$859,742.50",,,,,"$294,130.00",,,,,,,"$4,663,413.52",,,
1,103024753,Highlands SD,Allegheny,"$23,334,773.00","$13,260,081.00","$12,332,044.00","$928,037.00",,"$118,468.00",,,,,,"$2,249,518.00",,,,"$297,500.00",,"$1,149,498.00","$49,280.00",,"$42,929.00","$1,296,837.00",,"$36,679.00",,,"$460,757.00",$362.00,,,,,,"$4,372,864.00",,,
1,103025002,Keystone Oaks SD,Allegheny,"$11,917,249.00","$5,789,623.00","$5,143,758.00","$645,865.00",,"$74,004.00",,,,,,"$1,573,839.00",,,,,,"$310,974.00","$46,200.00","$1,430.00","$35,948.00","$848,227.00",,,,,"$231,127.00",,,,,,,"$3,005,877.00",,,
1,103026002,McKeesport Area SD,Allegheny,"$47,062,225.00","$29,166,836.00","$27,927,824.00","$1,239,012.00",,"$144,072.00",,"$283,662.00",,,,"$3,805,260.00",,,,"$630,000.00",,"$1,519,291.00","$345,730.00","$1,153,514.00","$66,991.00","$2,439,547.00","$40,000.00",,,,"$888,223.00",,"$19,566.00",,,,,"$6,559,533.00",,,
1,103026303,Montour SD,Allegheny,"$14,460,735.46","$5,607,631.47","$4,496,839.41","$1,110,792.06",,"$44,357.93",,,,,,"$1,784,924.93",,,,,,"$372,392.55","$102,410.00","$127,835.99","$61,591.93","$925,697.62","$10,269.18",,,,"$196,733.00",,,,,,,"$5,226,890.86",,,
1,103026343,Moon Area SD,Allegheny,"$19,299,001.52","$8,500,819.82","$7,185,146.44","$1,315,673.38",,"$25,310.22",,,,,,"$1,956,017.33",,,,,,"$690,238.00","$50,435.00","$699,359.92","$79,614.36","$955,985.03",,,,,"$335,009.00",,,,,,,"$6,006,212.84",,,
1,103026402,Mt Lebanon SD,Allegheny,"$24,440,072.42","$8,741,208.98","$6,855,925.31","$1,885,283.67","-$17,654.83","$15,483.69",,,"$14,040.00",,,"$2,946,309.81",,,,,,"$91,535.50",$385.00,"$1,509,910.53","$116,418.32","$1,709,638.53",,,,,"$418,618.00",,,,,,,"$8,894,178.89",,,
1,103026852,North Allegheny SD,Allegheny,"$38,541,853.11","$13,398,736.29","$10,385,680.23","$3,013,056.06",,,,,,,,"$4,113,959.43",,,,,,"$1,569,559.36","$350,735.00","$1,726,672.28","$159,448.04","$2,224,671.83",,"$32,349.72",,,"$581,758.00",,,,,,,"$14,383,963.16",,,
1,103026902,North Hills SD,Allegheny,"$21,202,916.34","$8,235,185.48","$6,816,519.86","$1,418,665.62",,"$23,340.22",,,,,,"$2,615,510.91",,,,,,"$628,971.74","$97,405.00","$1,060,734.95","$88,435.11","$1,432,177.95",,"$20,012.00",,,"$393,030.00",,,,,,"-$29,776.32","$6,637,889.30",,,
1,103026873,Northgate SD,Allegheny,"$8,958,169.00","$4,629,563.00","$4,222,897.00","$406,666.00",,"$4,129.00",,,,,,"$995,290.00",,,,"$166,250.00",,"$92,094.00",,"$87,797.00","$18,487.00","$697,616.00",,$275.00,,,"$201,103.00",,,,,,,"$2,065,565.00",,,
1,103027352,Penn Hills SD,Allegheny,"$34,648,010.58","$18,344,178.75","$17,490,950.72","$853,228.03",,"$37,068.95",,,,,,"$3,880,953.90",,,,,,"$2,567,947.80","$321,475.00","$528,940.51","$64,608.78","$2,359,495.21","$177,923.19",,,,"$850,686.00",,,,,,,"$5,514,732.49",,,
1,103021003,Pine-Richland SD,Allegheny,"$19,357,035.00","$6,997,798.00","$5,600,959.00","$1,396,839.00",,"$7,024.00",,,,,,"$1,747,236.00",,,,,,"$938,900.00","$175,175.00","$1,042,706.00","$89,023.00","$1,245,549.00",,,,,"$418,675.00",,,,"$6,388.00",,,"$6,688,561.00",,,
1,102027451,Pittsburgh SD,Allegheny,"$297,498,163.99","$170,771,345.24","$163,710,576.29","$7,060,768.95",,"$175,026.64",,"$845,815.49",,,,"$28,876,390.42","$6,058,567.75",,,"$7,100,625.00","$2,095,822.75","$1,531,228.34","$1,725,570.00","$5,076,533.72","$10,053.02","$15,578,970.60","$608,119.06",,,,"$4,955,423.00","$43,563.82","$42,134.57",,,,"-$2,433,889.72","$54,436,864.29",,,
1,103027503,Plum Borough SD,Allegheny,"$27,301,656.41","$14,493,328.56","$13,336,901.02","$1,156,427.54",,,,,,,,"$2,661,240.83",,,,,,"$1,290,772.97","$89,320.00","$781,491.02","$63,106.10","$1,655,685.03",,,,,"$618,345.00","$19,444.48",,,$340.18,,,"$5,628,582.24",,,
1,103027753,Quaker Valley SD,Allegheny,"$9,166,891.64","$2,554,716.66","$1,744,971.28","$809,745.38",,,,,,,,"$858,360.43",,,,,,"$279,989.38","$76,615.00","$694,221.62","$48,079.72","$672,942.43","$163,786.12","$44,568.00",,,"$66,366.00",,,,,,,"$3,707,246.28",,,
1,103028203,Riverview SD,Allegheny,"$6,988,976.00","$3,593,235.00","$3,226,249.00","$366,986.00",,"$13,946.00",,,,,,"$721,532.00",,,,,,"$201,572.00","$23,485.00","$200,156.00","$16,462.00","$357,272.00",,,,,"$126,151.00",,,,,,,"$1,735,165.00",,,
1,103028302,Shaler Area SD,Allegheny,"$27,857,225.60","$13,313,286.52","$11,852,416.17","$1,460,870.35",,"$104,581.17",,,,,,"$3,724,506.84",,,,,,"$414,672.26","$107,415.00","$350,598.54","$72,332.25","$2,039,384.39","$45,000.00",,,,"$706,471.00",,,,,,,"$6,978,977.63",,,
1,103028653,South Allegheny SD,Allegheny,"$16,794,292.76","$10,858,009.01","$10,318,657.56","$539,351.45",,"$140,223.19",,,,,,"$1,505,653.09",,,,,,"$200,833.55","$24,640.00","$369,858.08","$26,896.60","$759,431.15","$41,405.69",,,,"$343,234.00",,,,"$37,063.37",,,"$2,487,045.03",,,
