AUN,school_district,county,weighted_students,adequacy_target,adequacy_gap,state_share_ag,adequacy_supplement,excess_local_effort,"Total
Tax Equity Supplement","2024-25
Tax Equity Supplement",total_adequacy_investment
112011103,Bermudian Springs SD,Adams,2631.85,36066845.00,5499589.54,5499589.54,785656.00,0.00,0.00,0.00,785656.00
112011603,Conewago Valley SD,Adams,5776.51,79161334.00,17377225.40,17377225.40,2482461.00,2461361.44,2461361.00,351623.00,2834084.00
112013054,Fairfield Area SD,Adams,1396.72,19140610.00,1432393.20,1432393.20,204628.00,0.00,0.00,0.00,204628.00
112013753,Gettysburg Area SD,Adams,4556.31,62439645.00,984771.47,984771.47,140682.00,0.00,0.00,0.00,140682.00
112015203,Littlestown Area SD,Adams,2811.82,38533209.00,4979550.31,4979550.31,711364.00,115896.18,111260.00,15894.00,727258.00
112018523,Upper Adams SD,Adams,2601.25,35647516.00,7928033.60,7928033.60,1132576.00,2772807.64,2772808.00,396115.00,1528691.00
103020603,Allegheny Valley SD,Allegheny,1376.45,18862843.00,0.00,0.00,0.00,2406220.18,842177.00,120311.00,120311.00
103020753,Avonworth SD,Allegheny,2197.02,30107907.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103021102,Baldwin-Whitehall SD,Allegheny,6526.18,89434826.00,24338989.26,24338989.26,3476998.00,5789180.04,5789180.00,827026.00,4304024.00
103021252,Bethel Park SD,Allegheny,5016.42,68745033.00,0.00,0.00,0.00,8807706.91,4315776.00,616539.00,616539.00
103021453,Brentwood Borough SD,Allegheny,1833.01,25119528.00,1277303.24,1277303.24,182472.00,6101330.46,6101330.00,871619.00,1054091.00
103021603,Carlynton SD,Allegheny,2180.06,29875501.00,0.00,0.00,0.00,5066864.29,4408172.00,629739.00,629739.00
103021752,Chartiers Valley SD,Allegheny,4645.16,63657286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103021903,Clairton City SD,Allegheny,1553.44,21288301.00,1756493.66,1756493.66,250928.00,797460.55,797461.00,113923.00,364851.00
103022103,Cornell SD,Allegheny,956.63,13109644.00,0.00,0.00,0.00,2509076.60,1881807.00,268830.00,268830.00
103022253,Deer Lakes SD,Allegheny,2553.10,34987614.00,121890.95,121890.95,17413.00,2556760.14,2301084.00,328726.00,346139.00
103022503,Duquesne City SD,Allegheny,1663.19,22792342.00,1659658.15,1659658.15,237094.00,0.00,0.00,0.00,237094.00
103022803,East Allegheny SD,Allegheny,2913.95,39932757.00,4679498.61,4679498.61,668500.00,5546065.55,5546066.00,792295.00,1460795.00
103023153,Elizabeth Forward SD,Allegheny,3125.61,42833414.00,1264799.86,1264799.86,180686.00,5799926.84,5799927.00,828561.00,1009247.00
103023912,Fox Chapel Area SD,Allegheny,5303.30,72676451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
