school_district,state,AUN,nces_id
21ST CENTURY CYBER CS,Pennsylvania,124150002,4200091
A W BEATTIE CAREER CENTER,Pennsylvania,103020407,4280010
ABINGTON HEIGHTS SD,Pennsylvania,119350303,4202010
ABINGTON SD,Pennsylvania,123460302,4202040
ACHIEVEMENT HOUSE CS,Pennsylvania,125230001,4200128
ACT ACADEMY CYBER CS,Pennsylvania,126514368,4200868
AD PRIMA CS,Pennsylvania,126510015,4200129
ADMIRAL PEARY AVTS,Pennsylvania,108110307,4280120
AGORA CYBER CS,Pennsylvania,126510020,4200140
ALBERT GALLATIN AREA SD,Pennsylvania,101260303,4202100
ALIQUIPPA SD,Pennsylvania,127040503,4202130
ALLEGHENY IU 3,Pennsylvania,103000000,4289130
ALLEGHENY VALLEY SD,Pennsylvania,103020603,4202190
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,106160303,4202310
ALLENTOWN CITY SD,Pennsylvania,121390302,4202280
ALLIANCE FOR PROGRESS CS,Pennsylvania,126512990,4200039
ALTOONA AREA SD,Pennsylvania,108070502,4202340
AMBRIDGE AREA SD,Pennsylvania,127040703,4202440
ANNVILLE-CLEONA SD,Pennsylvania,113380303,4202490
ANTIETAM SD,Pennsylvania,114060503,4202480
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,Pennsylvania,104510394,4200813
APOLLO-RIDGE SD,Pennsylvania,128030603,4202550
APPALACHIA IU 8,Pennsylvania,108000000,4289180
ARIN IU 28,Pennsylvania,128000000,4289380
ARISE ACADEMY CHARTER HIGH SCHOOL,Pennsylvania,168518013,4200823
ARMSTRONG SD,Pennsylvania,128030852,4202590
ARTS ACADEMY CS,Pennsylvania,121395927,4200860
ARTS ACADEMY ELEMENTARY CHARTER SCHOOL,PENNSYLVANIA,121399898,4200883
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,Pennsylvania,181519176,4200835
ATHENS AREA SD,Pennsylvania,117080503,4202670
AUSTIN AREA SD,Pennsylvania,109530304,4202700
AVELLA AREA SD,Pennsylvania,101630504,4202760
AVON GROVE CS,Pennsylvania,124150003,4200101
AVON GROVE SD,Pennsylvania,124150503,4202790
AVONWORTH SD,Pennsylvania,103020753,4202820
BADEN ACADEMY CS,Pennsylvania,127046517,4200861
BALD EAGLE AREA SD,Pennsylvania,110141003,4202910
BALDWIN-WHITEHALL SD,Pennsylvania,103021102,4202970
BANGOR AREA SD,Pennsylvania,120480803,4203000
BEAR CREEK COMMUNITY CS,Pennsylvania,118400001,4200126
BEAVER AREA ACADEMIC CS,Pennsylvania,127040001,4200142
BEAVER AREA SD,Pennsylvania,127041203,4203120
