AUN,school_district,county,total_proposed_bef,base_bef_2324,proposed_formula_dist,adequacy_investment,est_bef,"Dollar Difference
(D - H)","Percent Difference
(I / H)"
112011103,Bermudian Springs SD,Adams,8348503.00,7414686.00,148160.82,785656.00,7414686.00,933817.00,0.13
112011603,Conewago Valley SD,Adams,15379626.00,12133963.00,411579.31,2834084.00,12133963.00,3245663.00,0.27
112013054,Fairfield Area SD,Adams,4386763.00,4098693.00,83442.25,204628.00,4098693.00,288070.00,0.07
112013753,Gettysburg Area SD,Adams,10262862.00,9859712.00,262468.49,140682.00,9859712.00,403150.00,0.04
112015203,Littlestown Area SD,Adams,8472884.00,7594831.00,150794.50,727258.00,7594831.00,878053.00,0.12
112018523,Upper Adams SD,Adams,10200138.00,8438241.00,233205.70,1528691.00,8438241.00,1761897.00,0.21
103020603,Allegheny Valley SD,Allegheny,3402826.00,3194259.00,88256.47,120311.00,3194259.00,208567.00,0.07
103020753,Avonworth SD,Allegheny,3675976.00,3565209.00,110767.25,0.00,3565209.00,110767.00,0.03
103021102,Baldwin-Whitehall SD,Allegheny,17878583.00,13181896.00,392662.92,4304024.00,13181896.00,4696687.00,0.36
103021252,Bethel Park SD,Allegheny,10916272.00,10137725.00,162008.35,616539.00,10137725.00,778547.00,0.08
103021453,Brentwood Borough SD,Allegheny,8066839.00,6798668.00,214079.89,1054091.00,6798668.00,1268171.00,0.19
103021603,Carlynton SD,Allegheny,5970502.00,5225388.00,115375.14,629739.00,5225388.00,745114.00,0.14
103021752,Chartiers Valley SD,Allegheny,6789123.00,6584300.00,204823.47,0.00,6584300.00,204823.00,0.03
103021903,Clairton City SD,Allegheny,10468757.00,9869060.00,234845.58,364851.00,9869060.00,599697.00,0.06
103022103,Cornell SD,Allegheny,2614854.00,2279610.00,66413.83,268830.00,2279610.00,335244.00,0.15
103022253,Deer Lakes SD,Allegheny,7497368.00,7024296.00,126932.50,346139.00,7024296.00,473072.00,0.07
103022503,Duquesne City SD,Allegheny,15038815.00,14537262.00,264459.18,237094.00,14537262.00,501553.00,0.03
103022803,East Allegheny SD,Allegheny,13927124.00,12018362.00,447966.74,1460795.00,12018362.00,1908762.00,0.16
103023153,Elizabeth Forward SD,Allegheny,12618314.00,11373619.00,235447.72,1009247.00,11373619.00,1244695.00,0.11
103023912,Fox Chapel Area SD,Allegheny,5797196.00,5549033.00,248163.07,0.00,5549033.00,248163.00,0.04
103024102,Gateway SD,Allegheny,11826057.00,10374393.00,331448.65,1120215.00,10374393.00,1451664.00,0.14
103024603,Hampton Township SD,Allegheny,6102650.00,5981482.00,121168.27,0.00,5981482.00,121168.00,0.02
103024753,Highlands SD,Allegheny,16502247.00,14594119.00,358684.93,1549443.00,14594119.00,1908128.00,0.13
103025002,Keystone Oaks SD,Allegheny,6354195.00,6120937.00,144255.52,89002.00,6120937.00,233258.00,0.04
103026002,McKeesport Area SD,Allegheny,41216402.00,36313932.00,1085848.04,3816622.00,36313932.00,4902470.00,0.14
103026303,Montour SD,Allegheny,5968539.00,5761664.00,206875.49,0.00,5761664.00,206875.00,0.04
103026343,Moon Area SD,Allegheny,9987562.00,8958758.00,292500.84,736303.00,8958758.00,1028804.00,0.11
103026402,Mt Lebanon SD,Allegheny,9172787.00,8271473.00,245289.87,656024.00,8271473.00,901314.00,0.11
103026852,North Allegheny SD,Allegheny,13238138.00,12831362.00,406776.00,0.00,12831362.00,406776.00,0.03
103026902,North Hills SD,Allegheny,9671659.00,8940764.00,329357.74,401537.00,8940764.00,730895.00,0.08
103026873,Northgate SD,Allegheny,5289658.00,4744271.00,89351.18,456036.00,4744271.00,545387.00,0.12
103027352,Penn Hills SD,Allegheny,25164184.00,20653436.00,523493.49,3987255.00,20653436.00,4510748.00,0.22
103021003,Pine-Richland SD,Allegheny,6533513.00,6364676.00,168836.74,0.00,6364676.00,168837.00,0.03
102027451,Pittsburgh SD,Allegheny,180054801.00,177716944.00,2337857.22,0.00,177716944.00,2337857.00,0.01
103027503,Plum Borough SD,Allegheny,15793904.00,14391624.00,184290.82,1217989.00,14391624.00,1402280.00,0.10
103027753,Quaker Valley SD,Allegheny,2710120.00,2566601.00,143518.76,0.00,2566601.00,143519.00,0.06
103028203,Riverview SD,Allegheny,3847279.00,3644359.00,79836.06,123084.00,3644359.00,202920.00,0.06
103028302,Shaler Area SD,Allegheny,14347878.00,13301553.00,258073.02,788252.00,13301553.00,1046325.00,0.08
103028653,South Allegheny SD,Allegheny,13187837.00,11858158.00,190846.59,1138832.00,11858158.00,1329679.00,0.11
103028703,South Fayette Township SD,Allegheny,6905119.00,5044518.00,240087.29,1620514.00,5044518.00,1860601.00,0.37
103028753,South Park SD,Allegheny,8266812.00,7245263.00,114229.86,907319.00,7245263.00,1021549.00,0.14
103028833,Steel Valley SD,Allegheny,13269305.00,12135515.00,286759.86,847030.00,12135515.00,1133790.00,0.09
103028853,Sto-Rox SD,Allegheny,19507202.00,15836901.00,608631.16,3061670.00,15836901.00,3670301.00,0.23
103029203,Upper Saint Clair SD,Allegheny,6781758.00,5665586.00,159293.55,956878.00,5665586.00,1116172.00,0.20
103029403,West Allegheny SD,Allegheny,8293046.00,7849961.00,251481.29,191604.00,7849961.00,443085.00,0.06
103029553,West Jefferson Hills SD,Allegheny,9208478.00,7604904.00,226686.58,1376887.00,7604904.00,1603574.00,0.21
103029603,West Mifflin Area SD,Allegheny,13967654.00,11412459.00,373097.05,2182098.00,11412459.00,2555195.00,0.22
103029803,Wilkinsburg Borough SD,Allegheny,13897652.00,13120892.00,231933.03,544827.00,13120892.00,776760.00,0.06
103029902,Woodland Hills SD,Allegheny,27678133.00,22139576.00,630505.33,4908052.00,22139576.00,5538557.00,0.25
128030603,Apollo-Ridge SD,Armstrong,9981967.00,9533995.00,160131.51,287840.00,9533995.00,447972.00,0.05
128030852,Armstrong SD,Armstrong,36036437.00,34412105.00,586985.14,1037347.00,34412105.00,1624332.00,0.05
128033053,Freeport Area SD,Armstrong,8513321.00,7910688.00,151116.19,451517.00,7910688.00,602633.00,0.08
128034503,Leechburg Area SD,Armstrong,5020228.00,4691786.00,67874.25,260568.00,4691786.00,328442.00,0.07
127040503,Aliquippa SD,Beaver,16183930.00,14129728.00,430818.90,1623383.00,14129728.00,2054202.00,0.15
127040703,Ambridge Area SD,Beaver,14670778.00,12671783.00,245641.28,1753354.00,12671783.00,1998995.00,0.16
127041203,Beaver Area SD,Beaver,7632393.00,6797246.00,159097.60,676049.00,6797246.00,835147.00,0.12
127041503,Big Beaver Falls Area SD,Beaver,17855964.00,15473942.00,424795.29,1957227.00,15473942.00,2382022.00,0.15
127041603,Blackhawk SD,Beaver,10846381.00,10214153.00,131928.97,500299.00,10214153.00,632228.00,0.06
127042003,Central Valley SD,Beaver,10463868.00,9801918.00,145488.76,516461.00,9801918.00,661950.00,0.07
127042853,Freedom Area SD,Beaver,10338575.00,9061010.00,119718.61,1157846.00,9061010.00,1277565.00,0.14
127044103,Hopewell Area SD,Beaver,10926634.00,10748055.00,128055.35,50524.00,10748055.00,178579.00,0.02
127045303,Midland Borough SD,Beaver,3996575.00,3765584.00,45407.64,185583.00,3765584.00,230991.00,0.06
127045653,New Brighton Area SD,Beaver,14403615.00,12828151.00,203068.68,1372395.00,12828151.00,1575464.00,0.12
127045853,Riverside Beaver County SD,Beaver,8822228.00,8353562.00,74351.83,394314.00,8353562.00,468666.00,0.06
127046903,Rochester Area SD,Beaver,8252657.00,7938855.00,166914.15,146888.00,7938855.00,313802.00,0.04
127047404,South Side Area SD,Beaver,10793037.00,10730269.00,62768.21,0.00,10730269.00,62768.00,0.01
127049303,Western Beaver County SD,Beaver,6111736.00,6048528.00,63207.58,0.00,6048528.00,63208.00,0.01
108051003,Bedford Area SD,Bedford,9307445.00,8785469.00,163203.52,358772.00,8785469.00,521976.00,0.06
108051503,Chestnut Ridge SD,Bedford,9567032.00,9187892.00,110787.34,268353.00,9187892.00,379140.00,0.04
108053003,Everett Area SD,Bedford,8458366.00,7536361.00,181032.58,740972.00,7536361.00,922005.00,0.12
108056004,Northern Bedford County SD,Bedford,6725351.00,6372544.00,75705.62,277101.00,6372544.00,352807.00,0.06
108058003,Tussey Mountain SD,Bedford,9168190.00,8567910.00,122870.23,477410.00,8567910.00,600280.00,0.07
