AUN,poverty_0_99,poverty_100_184,local_effort,local_effort_per_house,median_house_income
119350303,0.05,0.10,126768926.57,57.53,96139.00
123460302,0.09,0.08,34538228.17,42.28,89426.00
101260303,0.22,0.16,13856210.73,26.06,58372.00
127040503,0.58,0.16,7779534.21,44.42,38247.00
103020603,0.11,0.17,18048848.81,62.34,62141.00
106160303,0.16,0.16,4658524.58,35.44,60406.00
121390302,0.36,0.30,126180953.55,61.95,47106.00
108070502,0.24,0.22,30859338.33,26.61,49225.00
127040703,0.11,0.17,26597460.76,42.03,61991.00
113380303,0.06,0.16,17424934.53,57.41,70771.00
114060503,0.20,0.12,12391055.43,67.33,57489.00
128030603,0.12,0.23,9207921.85,42.49,55649.00
128030852,0.12,0.22,41293919.40,41.67,58051.00
117080503,0.15,0.15,17483711.34,52.64,56412.00
109530304,0.12,0.26,1935075.03,83.26,48724.00
101630504,0.25,0.18,3792655.17,31.63,70606.00
124150503,0.07,0.08,65892247.80,50.01,121560.00
103020753,0.09,0.05,27466385.79,55.32,102301.00
110141003,0.14,0.18,17614987.49,55.75,65098.00
103021102,0.13,0.15,51525676.48,44.93,71184.00
120480803,0.09,0.37,37855995.92,61.14,70765.00
127041203,0.08,0.09,22846293.87,48.21,73085.00
108051003,0.10,0.17,15612840.75,40.00,57386.00
107650603,0.16,0.10,21211190.11,41.71,63101.00
110141103,0.10,0.19,35519451.97,46.46,70754.00
108071003,0.12,0.18,7087218.72,32.76,62788.00
122091002,0.14,0.17,114782486.91,64.68,73701.00
116191004,0.09,0.22,7266113.55,56.28,61158.00
101630903,0.17,0.22,8027285.44,41.08,58572.00
108561003,0.10,0.20,3867559.38,30.83,56210.00
112011103,0.07,0.08,18987760.58,49.09,76337.00
116191103,0.15,0.18,20766631.15,39.07,55561.00
103021252,0.03,0.04,65165034.44,47.10,93045.00
120481002,0.19,0.17,217648753.88,65.92,70123.00
101631003,0.13,0.20,6238413.01,30.71,60625.00
127041503,0.29,0.27,9445544.86,40.72,43199.00
115210503,0.14,0.22,36574416.92,70.33,66482.00
127041603,0.08,0.09,21402071.25,37.14,77975.00
108110603,0.32,0.29,2136650.11,23.88,41194.00
116191203,0.17,0.19,16718124.41,50.43,48914.00
129540803,0.08,0.13,28699382.26,47.58,74764.00
119581003,0.16,0.26,7270499.14,45.83,55531.00
114060753,0.07,0.09,92372358.83,53.70,89514.00
109420803,0.20,0.24,13624632.11,34.20,52816.00
114060853,0.11,0.13,22857727.69,56.50,78753.00
103021453,0.24,0.27,15699780.06,61.89,57708.00
122091303,0.17,0.36,12403251.82,47.81,64285.00
122091352,0.17,0.14,97298394.77,64.58,73513.00
106330703,0.27,0.18,4685387.93,28.35,55869.00
106330803,0.17,0.26,10148290.15,36.59,57557.00
101260803,0.35,0.10,7543042.86,31.23,46224.00
123460504,0.03,0.03,172243.26,4.04,119232.00
101631203,0.10,0.11,9742999.45,40.17,61373.00
107650703,0.10,0.13,18739965.29,43.03,73351.00
104101252,0.12,0.14,53727309.80,36.63,61359.00
101631503,0.22,0.14,7072339.33,39.29,48480.00
108111203,0.12,0.11,6842310.90,29.96,60362.00
109122703,0.23,0.28,4290850.08,44.45,43381.00
115211003,0.08,0.08,20108495.77,64.38,98060.00
101631703,0.04,0.13,70409870.20,52.92,84705.00
117081003,0.15,0.37,4654254.60,38.37,51955.00
119351303,0.47,0.07,8836084.17,37.53,49121.00
115211103,0.15,0.12,64218479.88,61.39,66579.00
103021603,0.14,0.21,22039226.45,48.85,62319.00
101301303,0.24,0.12,5561421.03,33.95,56153.00
121391303,0.12,0.22,22916729.38,74.17,64653.00
122092002,0.05,0.10,97604151.54,56.36,83895.00
122092102,0.03,0.04,276236264.06,50.36,124687.00
108111303,0.09,0.08,11441045.28,35.35,59552.00
116191503,0.14,0.16,19289786.59,47.80,66819.00
115221402,0.08,0.14,163323047.00,52.76,76326.00
111291304,0.18,0.16,6333147.54,39.93,57932.00
101301403,0.11,0.24,17088372.22,55.39,58476.00
127042003,0.09,0.12,23284088.23,40.32,76566.00
112671303,0.11,0.11,70811941.99,62.29,81825.00
112281302,0.16,0.17,102288920.09,53.34,67020.00
101631803,0.33,0.12,11177796.98,45.50,49380.00
103021752,0.04,0.12,52871678.04,45.45,76872.00
101631903,0.08,0.10,13980637.13,41.13,82482.00
123461302,0.07,0.07,104763846.96,74.46,97125.00
125231232,0.42,0.27,28396525.44,48.55,38805.00
108051503,0.15,0.21,7157702.76,30.88,54810.00
125231303,0.17,0.21,54193275.24,74.54,76038.00
103021903,0.18,0.42,4174364.30,37.47,38558.00
106161203,0.06,0.15,8292514.28,50.04,52476.00
106161703,0.09,0.23,5958257.62,33.82,55533.00
108071504,0.23,0.20,3620140.51,30.87,53349.00
110171003,0.21,0.33,17002432.40,43.55,49393.00
124151902,0.15,0.16,132150424.24,64.88,83749.00
113361303,0.08,0.16,42086759.47,61.43,80295.00
123461602,0.04,0.07,120159300.81,55.14,112470.00
113361503,0.25,0.36,12687780.42,61.25,45808.00
104431304,0.17,0.15,2681025.99,30.61,53250.00
108561803,0.05,0.19,4285306.63,21.23,63506.00
108111403,0.27,0.10,3294239.38,24.14,55337.00
113361703,0.13,0.16,57934690.81,62.93,76379.00
112011603,0.07,0.15,42719188.95,57.69,67531.00
105201033,0.15,0.28,17911911.07,46.17,55899.00
101261302,0.18,0.22,20529116.70,28.08,51954.00
114061103,0.08,0.11,36048349.84,62.00,76803.00
103022103,0.10,0.30,10441510.13,64.28,51901.00
113381303,0.16,0.17,60706504.14,55.11,76105.00
105251453,0.31,0.14,9666070.56,33.73,48681.00
109531304,0.08,0.18,5815519.65,45.16,57012.00
122092353,0.03,0.03,203678280.51,53.07,139404.00
106611303,0.16,0.14,7948641.77,36.92,56924.00
105201352,0.13,0.25,28466627.21,43.40,54040.00
118401403,0.09,0.14,26470391.22,39.58,87590.00
115211603,0.08,0.13,120826958.40,51.89,94240.00
110171803,0.22,0.23,5201121.04,33.26,51783.00
118401603,0.17,0.04,26725626.32,39.94,78883.00
112671603,0.09,0.20,84674154.47,64.79,74238.00
114061503,0.13,0.04,41240652.39,51.32,97320.00
116471803,0.08,0.16,24601797.11,45.59,67575.00
103022253,0.14,0.15,23812833.94,47.52,78351.00
120522003,0.12,0.11,52883553.96,57.40,78403.00
107651603,0.11,0.25,15759093.56,38.50,57435.00
115221753,0.08,0.06,51298399.03,64.43,80193.00
113362203,0.13,0.15,35642264.68,53.05,75413.00
112671803,0.11,0.10,36620583.47,47.72,71397.00
124152003,0.02,0.07,188071253.41,50.99,132108.00
106172003,0.17,0.24,27343390.69,39.04,55519.00
119352203,0.09,0.12,13707133.03,36.52,65178.00
103022503,0.37,0.39,2214916.20,27.10,37904.00
103022803,0.31,0.22,17312323.34,57.86,44403.00
117412003,0.11,0.11,11831361.31,40.60,65867.00
121392303,0.08,0.11,121649855.59,59.00,91655.00
