LEA NAME,AUN,NCES ID,County Name,County Number,Urban-centric Locale [District] ,Metro Micro Area Code
21ST CENTURY CYBER CS,124150002,4200091,Chester County,42029,21-Suburb: Large,1-Metropolitan Area
A W BEATTIE CAREER CENTER,103020407,4280010,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
ABINGTON HEIGHTS SD,119350303,4202010,Lackawanna County,42069,41-Rural: Fringe,1-Metropolitan Area
ABINGTON SD,123460302,4202040,Montgomery County,42091,21-Suburb: Large,1-Metropolitan Area
ACHIEVEMENT HOUSE CS,125230001,4200128,Chester County,42029,21-Suburb: Large,1-Metropolitan Area
ACT ACADEMY CYBER CS,126514368,4200868,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
AD PRIMA CS,126510015,4200129,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
ADMIRAL PEARY AVTS,108110307,4280120,Cambria County,42021,31-Town: Fringe,1-Metropolitan Area
AGORA CYBER CS,126510020,4200140,Montgomery County,42091,21-Suburb: Large,1-Metropolitan Area
ALBERT GALLATIN AREA SD,101260303,4202100,Fayette County,42051,41-Rural: Fringe,1-Metropolitan Area
ALIQUIPPA SD,127040503,4202130,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
ALLEGHENY IU 3,103000000,4289130,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
ALLEGHENY VALLEY SD,103020603,4202190,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
ALLEGHENY-CLARION VALLEY SD,106160303,4202310,Clarion County,42031,43-Rural: Remote,0-New England (NECTA) or not reported
ALLENTOWN CITY SD,121390302,4202280,Lehigh County,42077,12-City: Mid-size,1-Metropolitan Area
ALLIANCE FOR PROGRESS CS,126512990,4200039,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
ALTOONA AREA SD,108070502,4202340,Blair County,42013,13-City: Small,1-Metropolitan Area
AMBRIDGE AREA SD,127040703,4202440,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
ANNVILLE-CLEONA SD,113380303,4202490,Lebanon County,42075,23-Suburb: Small,1-Metropolitan Area
ANTIETAM SD,114060503,4202480,Berks County,42011,21-Suburb: Large,1-Metropolitan Area
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,104510394,4200813,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
APOLLO-RIDGE SD,128030603,4202550,Armstrong County,42005,41-Rural: Fringe,1-Metropolitan Area
APPALACHIA IU 8,108000000,4289180,Blair County,42013,13-City: Small,1-Metropolitan Area
ARIN IU 28,128000000,4289380,Indiana County,42063,41-Rural: Fringe,2-Micropolitan Area
ARMSTRONG SD,128030852,4202590,Armstrong County,42005,41-Rural: Fringe,1-Metropolitan Area
ARTS ACADEMY CS,121395927,4200860,Lehigh County,42077,21-Suburb: Large,1-Metropolitan Area
ARTS ACADEMY ELEMENTARY CHARTER SCHOOL,121399898,4200883,Lehigh County,42077,12-City: Mid-size,1-Metropolitan Area
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,181519176,4200835,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
ATHENS AREA SD,117080503,4202670,Bradford County,42015,32-Town: Distant,2-Micropolitan Area
AUSTIN AREA SD,109530304,4202700,Potter County,42105,42-Rural: Distant,0-New England (NECTA) or not reported
AVELLA AREA SD,101630504,4202760,Washington County,42125,42-Rural: Distant,1-Metropolitan Area
AVON GROVE CS,124150003,4200101,Chester County,42029,21-Suburb: Large,1-Metropolitan Area
AVON GROVE SD,124150503,4202790,Chester County,42029,21-Suburb: Large,1-Metropolitan Area
AVONWORTH SD,103020753,4202820,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
BADEN ACADEMY CS,127046517,4200861,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
BALD EAGLE AREA SD,110141003,4202910,Centre County,42027,41-Rural: Fringe,1-Metropolitan Area
BALDWIN-WHITEHALL SD,103021102,4202970,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
BANGOR AREA SD,120480803,4203000,Northampton County,42095,41-Rural: Fringe,1-Metropolitan Area
BEAR CREEK COMMUNITY CS,118400001,4200126,Luzerne County,42079,41-Rural: Fringe,1-Metropolitan Area
BEAVER AREA SD,127041203,4203120,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
BEAVER COUNTY CTC,127041307,4280500,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
BEAVER VALLEY IU 27,127000000,4289370,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
BEDFORD AREA SD,108051003,4203180,Bedford County,42009,32-Town: Distant,0-New England (NECTA) or not reported
BEDFORD COUNTY TECHNICAL CENTER,108051307,4200001,Bedford County,42009,41-Rural: Fringe,0-New England (NECTA) or not reported
BELLE VERNON AREA SD,107650603,4203210,Westmoreland County,42129,23-Suburb: Small,1-Metropolitan Area
BELLEFONTE AREA SD,110141103,4203240,Centre County,42027,31-Town: Fringe,1-Metropolitan Area
BELLWOOD-ANTIS SD,108071003,4203300,Blair County,42013,23-Suburb: Small,1-Metropolitan Area
BELMONT CHARTER SCHOOL,126510010,4200108,Philadelphia County,42101,11-City: Large,1-Metropolitan Area
BENSALEM TOWNSHIP SD,122091002,4203330,Bucks County,42017,21-Suburb: Large,1-Metropolitan Area
BENTON AREA SD,116191004,4203390,Columbia County,42037,42-Rural: Distant,1-Metropolitan Area
BENTWORTH SD,101630903,4203360,Washington County,42125,41-Rural: Fringe,1-Metropolitan Area
BERKS COUNTY IU 14,114000000,4289240,Berks County,42011,21-Suburb: Large,1-Metropolitan Area
BERKS CTC,114060557,4280060,Berks County,42011,41-Rural: Fringe,1-Metropolitan Area
BERLIN BROTHERSVALLEY SD,108561003,4203420,Somerset County,42111,42-Rural: Distant,2-Micropolitan Area
BERMUDIAN SPRINGS SD,112011103,4203450,Adams County,42001,41-Rural: Fringe,1-Metropolitan Area
BERWICK AREA SD,116191103,4203480,Luzerne County,42079,23-Suburb: Small,1-Metropolitan Area
BETHEL PARK SD,103021252,4203510,Allegheny County,42003,21-Suburb: Large,1-Metropolitan Area
BETHLEHEM AREA SD,120481002,4203570,Northampton County,42095,13-City: Small,1-Metropolitan Area
BETHLEHEM AVTS,120481107,4280370,Northampton County,42095,21-Suburb: Large,1-Metropolitan Area
BETHLEHEM-CENTER SD,101631003,4203600,Washington County,42125,41-Rural: Fringe,1-Metropolitan Area
BIG BEAVER FALLS AREA SD,127041503,4203630,Beaver County,42007,21-Suburb: Large,1-Metropolitan Area
